GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3263)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
biological process involved in interaction with host (GO:0051701)	9	4	.53	+	7.61	1.15E-03	1.63E-02
transport of virus (GO:0046794)	9	4	.53	+	7.61	1.15E-03	1.62E-02
transport of virus in multicellular host (GO:0046739)	9	4	.53	+	7.61	1.15E-03	1.62E-02
viral process (GO:0016032)	9	4	.53	+	7.61	1.15E-03	1.61E-02
nuclear DNA replication (GO:0033260)	32	14	1.87	+	7.49	9.09E-10	7.46E-08
cell cycle DNA replication (GO:0044786)	37	16	2.16	+	7.40	7.04E-11	8.39E-09
lysine biosynthetic process via diaminopimelate (GO:0009089)	24	10	1.40	+	7.13	4.20E-07	2.04E-05
diaminopimelate metabolic process (GO:0046451)	24	10	1.40	+	7.13	4.20E-07	2.01E-05
polyprenol metabolic process (GO:0016093)	17	7	.99	+	7.05	2.67E-05	7.57E-04
threonine biosynthetic process (GO:0009088)	15	6	.88	+	6.85	1.25E-04	2.57E-03
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194)	10	4	.58	+	6.85	1.84E-03	2.42E-02
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	10	4	.58	+	6.85	1.84E-03	2.41E-02
ribonucleoside diphosphate biosynthetic process (GO:0009188)	10	4	.58	+	6.85	1.84E-03	2.40E-02
glycerol-3-phosphate catabolic process (GO:0046168)	10	4	.58	+	6.85	1.84E-03	2.40E-02
UDP metabolic process (GO:0046048)	10	4	.58	+	6.85	1.84E-03	2.39E-02
UDP biosynthetic process (GO:0006225)	10	4	.58	+	6.85	1.84E-03	2.38E-02
maintenance of root meristem identity (GO:0010078)	10	4	.58	+	6.85	1.84E-03	2.37E-02
maintenance of meristem identity (GO:0010074)	10	4	.58	+	6.85	1.84E-03	2.36E-02
diaminopimelate biosynthetic process (GO:0019877)	10	4	.58	+	6.85	1.84E-03	2.35E-02
maintenance of shoot apical meristem identity (GO:0010492)	10	4	.58	+	6.85	1.84E-03	2.35E-02
negative regulation of catabolic process (GO:0009895)	13	5	.76	+	6.58	5.87E-04	9.11E-03
L-leucine metabolic process (GO:0006551)	26	10	1.52	+	6.58	1.02E-06	4.23E-05
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	11	4	.64	+	6.22	2.75E-03	3.16E-02
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	11	4	.64	+	6.22	2.75E-03	3.15E-02
nucleoside diphosphate biosynthetic process (GO:0009133)	11	4	.64	+	6.22	2.75E-03	3.14E-02
mRNA pseudouridine synthesis (GO:1990481)	11	4	.64	+	6.22	2.75E-03	3.13E-02
stem cell population maintenance (GO:0019827)	11	4	.64	+	6.22	2.75E-03	3.12E-02
maintenance of cell number (GO:0098727)	11	4	.64	+	6.22	2.75E-03	3.11E-02
branched-chain amino acid biosynthetic process (GO:0009082)	42	15	2.45	+	6.11	6.67E-09	4.92E-07
DNA replication initiation (GO:0006270)	37	13	2.16	+	6.01	8.52E-08	5.07E-06
(1->3)-beta-D-glucan biosynthetic process (GO:0006075)	23	8	1.34	+	5.95	2.98E-05	8.28E-04
(1->3)-beta-D-glucan metabolic process (GO:0006074)	23	8	1.34	+	5.95	2.98E-05	8.22E-04
lysine biosynthetic process (GO:0009085)	29	10	1.69	+	5.90	3.27E-06	1.17E-04
pyruvate family amino acid biosynthetic process (GO:0009079)	30	10	1.75	+	5.71	4.65E-06	1.60E-04
protein import into chloroplast stroma (GO:0045037)	27	9	1.58	+	5.71	1.40E-05	4.24E-04
response to mechanical stimulus (GO:0009612)	12	4	.70	+	5.71	3.94E-03	3.97E-02
plastid translation (GO:0032544)	12	4	.70	+	5.71	3.94E-03	3.96E-02
biological process involved in symbiotic interaction (GO:0044403)	12	4	.70	+	5.71	3.94E-03	3.95E-02
flavonoid biosynthetic process (GO:0009813)	57	19	3.33	+	5.71	2.59E-10	2.58E-08
flavonoid metabolic process (GO:0009812)	57	19	3.33	+	5.71	2.59E-10	2.52E-08
threonine metabolic process (GO:0006566)	18	6	1.05	+	5.71	3.99E-04	6.37E-03
lysine metabolic process (GO:0006553)	31	10	1.81	+	5.52	6.50E-06	2.20E-04
chloroplast rRNA processing (GO:1901259)	28	9	1.64	+	5.50	1.96E-05	5.69E-04
AMP metabolic process (GO:0046033)	25	8	1.46	+	5.48	5.92E-05	1.38E-03
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	38	12	2.22	+	5.41	1.00E-06	4.22E-05
AMP biosynthetic process (GO:0006167)	20	6	1.17	+	5.14	7.52E-04	1.13E-02
chorismate metabolic process (GO:0046417)	27	8	1.58	+	5.07	1.09E-04	2.34E-03
regulation of stomatal closure (GO:0090333)	17	5	.99	+	5.03	2.32E-03	2.79E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	17	5	.99	+	5.03	2.32E-03	2.78E-02
G1/S transition of mitotic cell cycle (GO:0000082)	89	26	5.20	+	5.00	4.33E-12	6.95E-10
cell cycle G1/S phase transition (GO:0044843)	89	26	5.20	+	5.00	4.33E-12	6.66E-10
positive regulation of translation (GO:0045727)	31	9	1.81	+	4.97	4.87E-05	1.18E-03
nucleoside monophosphate phosphorylation (GO:0046940)	28	8	1.64	+	4.89	1.45E-04	2.95E-03
regulation of mitotic sister chromatid segregation (GO:0033047)	25	7	1.46	+	4.79	4.36E-04	6.90E-03
regulation of cell shape (GO:0008360)	50	14	2.92	+	4.79	6.66E-07	3.12E-05
cellular response to blue light (GO:0071483)	18	5	1.05	+	4.75	3.06E-03	3.38E-02
intracellular receptor signaling pathway (GO:0030522)	18	5	1.05	+	4.75	3.06E-03	3.37E-02
blue light signaling pathway (GO:0009785)	18	5	1.05	+	4.75	3.06E-03	3.36E-02
primary alcohol biosynthetic process (GO:0034309)	22	6	1.29	+	4.67	1.31E-03	1.80E-02
thiamine biosynthetic process (GO:0009228)	22	6	1.29	+	4.67	1.31E-03	1.80E-02
mitotic cell cycle phase transition (GO:0044772)	96	26	5.61	+	4.64	2.89E-11	3.67E-09
cell cycle phase transition (GO:0044770)	96	26	5.61	+	4.64	2.89E-11	3.55E-09
regulation of mitotic sister chromatid separation (GO:0010965)	34	9	1.99	+	4.53	1.08E-04	2.35E-03
regulation of chromosome separation (GO:1905818)	34	9	1.99	+	4.53	1.08E-04	2.33E-03
regulation of mitotic nuclear division (GO:0007088)	34	9	1.99	+	4.53	1.08E-04	2.32E-03
L-ascorbic acid metabolic process (GO:0019852)	23	6	1.34	+	4.47	1.68E-03	2.27E-02
pyruvate decarboxylation to acetyl-CoA (GO:0006086)	23	6	1.34	+	4.47	1.68E-03	2.26E-02
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	59	15	3.45	+	4.35	1.05E-06	4.30E-05
purine nucleoside monophosphate biosynthetic process (GO:0009127)	59	15	3.45	+	4.35	1.05E-06	4.25E-05
nucleoside biosynthetic process (GO:0009163)	24	6	1.40	+	4.28	2.14E-03	2.67E-02
ribonucleoside biosynthetic process (GO:0042455)	24	6	1.40	+	4.28	2.14E-03	2.66E-02
purine nucleoside biosynthetic process (GO:0042451)	24	6	1.40	+	4.28	2.14E-03	2.65E-02
purine ribonucleoside biosynthetic process (GO:0046129)	24	6	1.40	+	4.28	2.14E-03	2.64E-02
purine ribonucleoside metabolic process (GO:0046128)	24	6	1.40	+	4.28	2.14E-03	2.63E-02
IMP biosynthetic process (GO:0006188)	36	9	2.10	+	4.28	1.74E-04	3.36E-03
thiamine-containing compound biosynthetic process (GO:0042724)	24	6	1.40	+	4.28	2.14E-03	2.62E-02
phosphatidylcholine biosynthetic process (GO:0006656)	24	6	1.40	+	4.28	2.14E-03	2.61E-02
protein localization to cortical microtubule cytoskeleton (GO:0072699)	24	6	1.40	+	4.28	2.14E-03	2.60E-02
protein localization to cell cortex (GO:0072697)	24	6	1.40	+	4.28	2.14E-03	2.60E-02
DNA replication checkpoint signaling (GO:0000076)	28	7	1.64	+	4.28	9.19E-04	1.36E-02
nucleobase-containing small molecule biosynthetic process (GO:0034404)	24	6	1.40	+	4.28	2.14E-03	2.59E-02
plant-type cell wall modification (GO:0009827)	85	21	4.97	+	4.23	1.35E-08	9.42E-07
starch biosynthetic process (GO:0019252)	37	9	2.16	+	4.16	2.19E-04	3.96E-03
plastid fission (GO:0043572)	29	7	1.69	+	4.13	1.15E-03	1.65E-02
chloroplast fission (GO:0010020)	29	7	1.69	+	4.13	1.15E-03	1.65E-02
purine ribonucleotide salvage (GO:0106380)	25	6	1.46	+	4.11	2.67E-03	3.08E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	38	9	2.22	+	4.05	2.72E-04	4.71E-03
IMP metabolic process (GO:0046040)	38	9	2.22	+	4.05	2.72E-04	4.69E-03
regulation of mitotic metaphase/anaphase transition (GO:0030071)	38	9	2.22	+	4.05	2.72E-04	4.67E-03
regulation of cell morphogenesis (GO:0022604)	60	14	3.51	+	3.99	7.10E-06	2.34E-04
purine ribonucleoside monophosphate metabolic process (GO:0009167)	65	15	3.80	+	3.95	3.91E-06	1.39E-04
purine nucleoside monophosphate metabolic process (GO:0009126)	65	15	3.80	+	3.95	3.91E-06	1.37E-04
'de novo' IMP biosynthetic process (GO:0006189)	26	6	1.52	+	3.95	3.31E-03	3.60E-02
lactone metabolic process (GO:1901334)	26	6	1.52	+	3.95	3.31E-03	3.59E-02
plastid membrane organization (GO:0009668)	31	7	1.81	+	3.87	1.75E-03	2.34E-02
plant-type cell wall organization (GO:0009664)	173	39	10.11	+	3.86	2.48E-13	5.08E-11
thiamine metabolic process (GO:0006772)	27	6	1.58	+	3.80	4.04E-03	4.05E-02
thiamine-containing compound metabolic process (GO:0042723)	27	6	1.58	+	3.80	4.04E-03	4.04E-02
DNA integrity checkpoint signaling (GO:0031570)	36	8	2.10	+	3.80	9.32E-04	1.37E-02
branched-chain amino acid metabolic process (GO:0009081)	74	16	4.32	+	3.70	4.66E-06	1.59E-04
L-arginine biosynthetic process (GO:0006526)	28	6	1.64	+	3.67	4.89E-03	4.68E-02
regulation of nuclear division (GO:0051783)	42	9	2.45	+	3.67	6.02E-04	9.30E-03
dicarboxylic acid metabolic process (GO:0043648)	145	31	8.47	+	3.66	2.76E-10	2.61E-08
pyruvate family amino acid metabolic process (GO:0009078)	47	10	2.75	+	3.64	3.22E-04	5.36E-03
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	33	7	1.93	+	3.63	2.57E-03	3.01E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	76	16	4.44	+	3.60	6.72E-06	2.26E-04
galactose metabolic process (GO:0006012)	76	16	4.44	+	3.60	6.72E-06	2.24E-04
regulation of cell cycle phase transition (GO:1901987)	101	21	5.90	+	3.56	3.25E-07	1.60E-05
cell cycle checkpoint signaling (GO:0000075)	63	13	3.68	+	3.53	6.00E-05	1.39E-03
regulation of cell cycle G2/M phase transition (GO:1902749)	34	7	1.99	+	3.52	3.07E-03	3.37E-02
translational elongation (GO:0006414)	70	14	4.09	+	3.42	4.56E-05	1.14E-03
aspartate family amino acid biosynthetic process (GO:0009067)	81	16	4.73	+	3.38	1.58E-05	4.67E-04
regulation of sister chromatid segregation (GO:0033045)	46	9	2.69	+	3.35	1.20E-03	1.67E-02
negative regulation of translation (GO:0017148)	41	8	2.40	+	3.34	2.27E-03	2.74E-02
negative regulation of cell cycle process (GO:0010948)	67	13	3.91	+	3.32	1.17E-04	2.45E-03
negative regulation of cell cycle phase transition (GO:1901988)	67	13	3.91	+	3.32	1.17E-04	2.44E-03
plastid organization (GO:0009657)	197	38	11.51	+	3.30	7.27E-11	8.40E-09
fatty acid derivative metabolic process (GO:1901568)	52	10	3.04	+	3.29	7.54E-04	1.13E-02
mitotic cell cycle (GO:0000278)	386	74	22.55	+	3.28	1.40E-19	6.47E-17
nucleoside monophosphate metabolic process (GO:0009123)	141	27	8.24	+	3.28	4.50E-08	2.82E-06
starch metabolic process (GO:0005982)	47	9	2.75	+	3.28	1.41E-03	1.93E-02
thioester biosynthetic process (GO:0035384)	42	8	2.45	+	3.26	2.66E-03	3.08E-02
positive regulation of gene expression (GO:0010628)	63	12	3.68	+	3.26	2.54E-04	4.49E-03
response to water deprivation (GO:0009414)	63	12	3.68	+	3.26	2.54E-04	4.47E-03
acyl-CoA biosynthetic process (GO:0071616)	42	8	2.45	+	3.26	2.66E-03	3.07E-02
response to water (GO:0009415)	64	12	3.74	+	3.21	2.96E-04	4.97E-03
pyruvate metabolic process (GO:0006090)	193	36	11.28	+	3.19	5.98E-10	5.02E-08
negative regulation of protein metabolic process (GO:0051248)	43	8	2.51	+	3.18	3.11E-03	3.39E-02
mitotic cell cycle process (GO:1903047)	307	57	17.94	+	3.18	8.59E-15	1.98E-12
galactose catabolic process (GO:0019388)	54	10	3.15	+	3.17	1.03E-03	1.50E-02
mitochondrial gene expression (GO:0140053)	87	16	5.08	+	3.15	3.99E-05	1.01E-03
negative regulation of cell cycle (GO:0045786)	71	13	4.15	+	3.13	2.15E-04	3.92E-03
ribonucleoside monophosphate biosynthetic process (GO:0009156)	93	17	5.43	+	3.13	2.52E-05	7.21E-04
cysteine metabolic process (GO:0006534)	44	8	2.57	+	3.11	3.60E-03	3.74E-02
maturation of LSU-rRNA (GO:0000470)	66	12	3.86	+	3.11	3.98E-04	6.42E-03
response to acid chemical (GO:0001101)	66	12	3.86	+	3.11	3.98E-04	6.40E-03
tetrapyrrole biosynthetic process (GO:0033014)	78	14	4.56	+	3.07	1.56E-04	3.13E-03
ribosomal large subunit biogenesis (GO:0042273)	134	24	7.83	+	3.07	8.82E-07	3.79E-05
hexose catabolic process (GO:0019320)	56	10	3.27	+	3.06	1.37E-03	1.88E-02
methionine biosynthetic process (GO:0009086)	45	8	2.63	+	3.04	4.16E-03	4.12E-02
aspartate family amino acid metabolic process (GO:0009066)	90	16	5.26	+	3.04	6.13E-05	1.41E-03
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	45	8	2.63	+	3.04	4.16E-03	4.11E-02
methionine metabolic process (GO:0006555)	45	8	2.63	+	3.04	4.16E-03	4.10E-02
nucleoside monophosphate biosynthetic process (GO:0009124)	107	19	6.25	+	3.04	1.33E-05	4.06E-04
secondary metabolite biosynthetic process (GO:0044550)	158	28	9.23	+	3.03	1.42E-07	8.21E-06
regulation of chromosome segregation (GO:0051983)	51	9	2.98	+	3.02	2.56E-03	3.01E-02
cellular response to light stimulus (GO:0071482)	74	13	4.32	+	3.01	3.30E-04	5.46E-03
porphyrin-containing compound biosynthetic process (GO:0006779)	74	13	4.32	+	3.01	3.30E-04	5.43E-03
mitochondrial RNA metabolic process (GO:0000959)	52	9	3.04	+	2.96	2.94E-03	3.29E-02
L-amino acid biosynthetic process (GO:0170034)	249	43	14.55	+	2.96	1.78E-10	1.93E-08
ribonucleoside monophosphate metabolic process (GO:0009161)	99	17	5.78	+	2.94	5.78E-05	1.36E-03
cellular response to radiation (GO:0071478)	76	13	4.44	+	2.93	4.31E-04	6.87E-03
establishment of protein localization to chloroplast (GO:0072596)	53	9	3.10	+	2.91	3.36E-03	3.63E-02
monosaccharide catabolic process (GO:0046365)	59	10	3.45	+	2.90	2.07E-03	2.59E-02
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	65	11	3.80	+	2.90	1.28E-03	1.76E-02
regulation of mitotic cell cycle (GO:0007346)	95	16	5.55	+	2.88	1.20E-04	2.48E-03
DNA-templated DNA replication (GO:0006261)	143	24	8.35	+	2.87	2.92E-06	1.06E-04
chloroplast organization (GO:0009658)	161	27	9.41	+	2.87	7.36E-07	3.31E-05
regulation of chromosome organization (GO:0033044)	54	9	3.15	+	2.85	3.82E-03	3.92E-02
sulfur amino acid metabolic process (GO:0000096)	84	14	4.91	+	2.85	3.48E-04	5.69E-03
L-serine metabolic process (GO:0006563)	54	9	3.15	+	2.85	3.82E-03	3.91E-02
maturation of SSU-rRNA (GO:0030490)	91	15	5.32	+	2.82	2.46E-04	4.37E-03
mitochondrial translation (GO:0032543)	55	9	3.21	+	2.80	4.34E-03	4.24E-02
ribonucleoside diphosphate metabolic process (GO:0009185)	160	26	9.35	+	2.78	2.15E-06	8.12E-05
amino acid biosynthetic process (GO:0008652)	370	60	21.62	+	2.78	8.35E-13	1.47E-10
alcohol biosynthetic process (GO:0046165)	99	16	5.78	+	2.77	1.96E-04	3.72E-03
glucan biosynthetic process (GO:0009250)	162	26	9.46	+	2.75	2.73E-06	1.01E-04
proteinogenic amino acid biosynthetic process (GO:0170038)	268	43	15.66	+	2.75	1.87E-09	1.50E-07
serine family amino acid biosynthetic process (GO:0009070)	70	11	4.09	+	2.69	2.36E-03	2.82E-02
response to abscisic acid (GO:0009737)	142	22	8.30	+	2.65	2.72E-05	7.66E-04
response to alcohol (GO:0097305)	142	22	8.30	+	2.65	2.72E-05	7.61E-04
sulfur compound transport (GO:0072348)	65	10	3.80	+	2.63	4.29E-03	4.21E-02
sulfur amino acid biosynthetic process (GO:0000097)	78	12	4.56	+	2.63	1.84E-03	2.34E-02
ribonucleoside diphosphate catabolic process (GO:0009191)	144	22	8.41	+	2.62	3.39E-05	9.14E-04
purine ribonucleoside diphosphate catabolic process (GO:0009181)	144	22	8.41	+	2.62	3.39E-05	9.07E-04
purine ribonucleotide catabolic process (GO:0009154)	144	22	8.41	+	2.62	3.39E-05	9.01E-04
purine nucleoside diphosphate catabolic process (GO:0009137)	144	22	8.41	+	2.62	3.39E-05	8.94E-04
ADP catabolic process (GO:0046032)	144	22	8.41	+	2.62	3.39E-05	8.88E-04
ADP metabolic process (GO:0046031)	144	22	8.41	+	2.62	3.39E-05	8.82E-04
glycolytic process (GO:0006096)	144	22	8.41	+	2.62	3.39E-05	8.75E-04
ribonucleotide catabolic process (GO:0009261)	144	22	8.41	+	2.62	3.39E-05	8.69E-04
translation (GO:0006412)	989	149	57.78	+	2.58	3.57E-26	2.19E-23
pyridine nucleotide catabolic process (GO:0019364)	147	22	8.59	+	2.56	4.68E-05	1.16E-03
aromatic amino acid family biosynthetic process (GO:0009073)	94	14	5.49	+	2.55	1.11E-03	1.61E-02
ribosomal small subunit biogenesis (GO:0042274)	155	23	9.06	+	2.54	3.65E-05	9.30E-04
pyridine-containing compound catabolic process (GO:0072526)	149	22	8.70	+	2.53	5.76E-05	1.36E-03
purine nucleotide catabolic process (GO:0006195)	156	23	9.11	+	2.52	4.05E-05	1.02E-03
purine ribonucleoside diphosphate metabolic process (GO:0009179)	150	22	8.76	+	2.51	6.38E-05	1.45E-03
purine nucleoside diphosphate metabolic process (GO:0009135)	150	22	8.76	+	2.51	6.38E-05	1.44E-03
alpha-amino acid biosynthetic process (GO:1901607)	322	47	18.81	+	2.50	1.14E-08	8.13E-07
nucleoside diphosphate metabolic process (GO:0009132)	179	26	10.46	+	2.49	1.73E-05	5.06E-04
xenobiotic transport (GO:0042908)	118	17	6.89	+	2.47	5.11E-04	8.07E-03
plant-type cell wall organization or biogenesis (GO:0071669)	321	46	18.75	+	2.45	2.38E-08	1.60E-06
xenobiotic export from cell (GO:0046618)	91	13	5.32	+	2.45	2.41E-03	2.86E-02
xenobiotic detoxification by transmembrane export across the plasma membrane (GO:1990961)	91	13	5.32	+	2.45	2.41E-03	2.85E-02
regulation of cell cycle process (GO:0010564)	168	24	9.81	+	2.45	4.69E-05	1.15E-03
cellular response to environmental stimulus (GO:0104004)	92	13	5.37	+	2.42	2.65E-03	3.09E-02
cellular response to abiotic stimulus (GO:0071214)	92	13	5.37	+	2.42	2.65E-03	3.08E-02
abscisic acid-activated signaling pathway (GO:0009738)	85	12	4.97	+	2.42	3.83E-03	3.91E-02
cellular response to abscisic acid stimulus (GO:0071215)	85	12	4.97	+	2.42	3.83E-03	3.90E-02
cellular response to alcohol (GO:0097306)	85	12	4.97	+	2.42	3.83E-03	3.89E-02
glucan catabolic process (GO:0009251)	85	12	4.97	+	2.42	3.83E-03	3.88E-02
serine family amino acid metabolic process (GO:0009069)	93	13	5.43	+	2.39	2.92E-03	3.28E-02
regulation of anatomical structure morphogenesis (GO:0022603)	115	16	6.72	+	2.38	1.08E-03	1.57E-02
rRNA processing (GO:0006364)	400	55	23.37	+	2.35	4.77E-09	3.75E-07
cytoplasmic translation (GO:0002181)	168	23	9.81	+	2.34	1.69E-04	3.28E-03
nucleotide catabolic process (GO:0009166)	169	23	9.87	+	2.33	1.79E-04	3.42E-03
nucleoside diphosphate catabolic process (GO:0009134)	162	22	9.46	+	2.32	2.58E-04	4.52E-03
cell wall modification (GO:0042545)	229	31	13.38	+	2.32	1.32E-05	4.07E-04
ribosome biogenesis (GO:0042254)	564	76	32.95	+	2.31	1.38E-11	1.88E-09
tetrapyrrole metabolic process (GO:0033013)	104	14	6.08	+	2.30	2.94E-03	3.28E-02
cell wall organization (GO:0071555)	694	93	40.54	+	2.29	1.03E-13	2.24E-11
purine-containing compound catabolic process (GO:0072523)	188	25	10.98	+	2.28	1.20E-04	2.48E-03
rRNA metabolic process (GO:0016072)	423	56	24.71	+	2.27	1.42E-08	9.71E-07
L-amino acid metabolic process (GO:0170033)	403	53	23.54	+	2.25	4.32E-08	2.75E-06
organic acid biosynthetic process (GO:0016053)	716	94	41.83	+	2.25	2.65E-13	5.14E-11
carboxylic acid biosynthetic process (GO:0046394)	716	94	41.83	+	2.25	2.65E-13	4.89E-11
cell division (GO:0051301)	367	48	21.44	+	2.24	2.41E-07	1.25E-05
purine ribonucleotide metabolic process (GO:0009150)	299	39	17.47	+	2.23	2.81E-06	1.03E-04
post-transcriptional regulation of gene expression (GO:0010608)	230	30	13.44	+	2.23	4.87E-05	1.19E-03
cell cycle process (GO:0022402)	575	75	33.59	+	2.23	8.81E-11	9.86E-09
ribonucleotide metabolic process (GO:0009259)	347	45	20.27	+	2.22	7.30E-07	3.33E-05
beta-glucan metabolic process (GO:0051273)	147	19	8.59	+	2.21	1.11E-03	1.61E-02
regulation of translation (GO:0006417)	163	21	9.52	+	2.21	6.21E-04	9.47E-03
external encapsulating structure organization (GO:0045229)	724	93	42.30	+	2.20	1.28E-12	2.16E-10
negative regulation of gene expression, epigenetic (GO:0045814)	117	15	6.84	+	2.19	4.29E-03	4.21E-02
small molecule biosynthetic process (GO:0044283)	962	123	56.20	+	2.19	5.89E-16	1.45E-13
proteinogenic amino acid metabolic process (GO:0170039)	420	53	24.54	+	2.16	1.65E-07	9.35E-06
pigment biosynthetic process (GO:0046148)	135	17	7.89	+	2.16	2.61E-03	3.05E-02
cell cycle (GO:0007049)	710	89	41.48	+	2.15	1.55E-11	2.04E-09
protein-DNA complex assembly (GO:0065004)	128	16	7.48	+	2.14	3.75E-03	3.86E-02
