GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (605)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
triglyceride metabolic process (GO:0006641)	37	5	.40	+	12.48	4.80E-05	4.22E-03
acylglycerol metabolic process (GO:0006639)	41	5	.44	+	11.26	7.96E-05	6.26E-03
neutral lipid metabolic process (GO:0006638)	41	5	.44	+	11.26	7.96E-05	6.13E-03
negative regulation of DNA metabolic process (GO:0051053)	34	4	.37	+	10.86	4.88E-04	2.73E-02
secondary metabolic process (GO:0019748)	236	25	2.56	+	9.78	1.96E-17	1.20E-14
chromosome condensation (GO:0030261)	39	4	.42	+	9.47	8.30E-04	3.69E-02
abscisic acid-activated signaling pathway (GO:0009738)	85	7	.92	+	7.60	4.02E-05	4.12E-03
cellular response to abscisic acid stimulus (GO:0071215)	85	7	.92	+	7.60	4.02E-05	4.01E-03
cellular response to alcohol (GO:0097306)	85	7	.92	+	7.60	4.02E-05	3.91E-03
response to abscisic acid (GO:0009737)	142	10	1.54	+	6.50	3.82E-06	7.42E-04
response to alcohol (GO:0097305)	142	10	1.54	+	6.50	3.82E-06	7.05E-04
phenylpropanoid biosynthetic process (GO:0009699)	125	8	1.35	+	5.91	7.02E-05	5.63E-03
tissue development (GO:0009888)	194	12	2.10	+	5.71	1.65E-06	4.68E-04
reactive oxygen species metabolic process (GO:0072593)	224	13	2.43	+	5.36	1.25E-06	4.20E-04
plant-type cell wall organization (GO:0009664)	173	9	1.87	+	4.80	1.24E-04	8.67E-03
hydrogen peroxide catabolic process (GO:0042744)	205	10	2.22	+	4.50	9.07E-05	6.83E-03
hydrogen peroxide metabolic process (GO:0042743)	205	10	2.22	+	4.50	9.07E-05	6.70E-03
cellular oxidant detoxification (GO:0098869)	311	15	3.37	+	4.45	1.98E-06	5.22E-04
cellular response to lipid (GO:0071396)	192	9	2.08	+	4.33	2.71E-04	1.59E-02
cellular response to oxygen-containing compound (GO:1901701)	261	12	2.83	+	4.24	3.30E-05	3.58E-03
phenylpropanoid metabolic process (GO:0009698)	182	8	1.97	+	4.06	8.93E-04	3.93E-02
cellular response to toxic substance (GO:0097237)	346	15	3.75	+	4.00	7.19E-06	1.06E-03
cellular detoxification (GO:1990748)	346	15	3.75	+	4.00	7.19E-06	1.02E-03
response to lipid (GO:0033993)	296	12	3.21	+	3.74	1.10E-04	7.94E-03
response to oxidative stress (GO:0006979)	376	15	4.07	+	3.68	1.91E-05	2.35E-03
detoxification (GO:0098754)	456	18	4.94	+	3.64	3.35E-06	6.87E-04
response to toxic substance (GO:0009636)	462	18	5.00	+	3.60	4.01E-06	7.05E-04
methylation (GO:0032259)	516	20	5.59	+	3.58	1.28E-06	3.94E-04
monocarboxylic acid biosynthetic process (GO:0072330)	262	10	2.84	+	3.52	6.42E-04	3.29E-02
response to oxygen-containing compound (GO:1901700)	545	17	5.90	+	2.88	1.18E-04	8.37E-03
cellular response to chemical stimulus (GO:0070887)	1333	37	14.44	+	2.56	2.67E-07	9.87E-05
response to abiotic stimulus (GO:0009628)	722	20	7.82	+	2.56	1.52E-04	1.04E-02
hormone-mediated signaling pathway (GO:0009755)	913	22	9.89	+	2.22	5.41E-04	2.90E-02
cellular response to hormone stimulus (GO:0032870)	913	22	9.89	+	2.22	5.41E-04	2.86E-02
cellular response to endogenous stimulus (GO:0071495)	915	22	9.91	+	2.22	5.55E-04	2.89E-02
defense response (GO:0006952)	1143	25	12.38	+	2.02	1.18E-03	4.51E-02
response to chemical (GO:0042221)	2149	45	23.28	+	1.93	4.12E-05	3.90E-03
biosynthetic process (GO:0009058)	6744	121	73.05	+	1.66	2.54E-08	1.17E-05
response to stress (GO:0006950)	3176	56	34.40	+	1.63	3.80E-04	2.16E-02
response to stimulus (GO:0050896)	6418	97	69.52	+	1.40	8.23E-04	3.70E-02
metabolic process (GO:0008152)	14386	196	155.83	+	1.26	2.59E-04	1.57E-02
cellular process (GO:0009987)	23234	294	251.67	+	1.17	4.89E-04	2.70E-02
biological_process (GO:0008150)	29105	364	315.27	+	1.15	7.00E-05	5.75E-03
Unclassified (UNCLASSIFIED)	26748	241	289.73	-	.83	7.00E-05	5.88E-03
establishment of protein localization (GO:0045184)	1249	3	13.53	-	.22	1.24E-03	4.69E-02
organophosphate metabolic process (GO:0019637)	1226	2	13.28	-	.15	3.66E-04	2.11E-02
phosphate-containing compound metabolic process (GO:0006796)	1276	2	13.82	-	.14	1.71E-04	1.13E-02
phosphorus metabolic process (GO:0006793)	1276	2	13.82	-	.14	1.71E-04	1.11E-02
organophosphate biosynthetic process (GO:0090407)	716	0	7.76	-	 < 0.01	7.65E-04	3.57E-02
mRNA processing (GO:0006397)	684	0	7.41	-	 < 0.01	1.14E-03	4.61E-02
