GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (4562)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to glucose (GO:0009749)	6	4	.49	+	8.16	5.83E-04	7.45E-03
response to hexose (GO:0009746)	6	4	.49	+	8.16	5.83E-04	7.42E-03
plastid transcription (GO:0042793)	12	8	.98	+	8.16	7.22E-07	2.32E-05
regulation of cytokinesis (GO:0032465)	8	5	.65	+	7.65	1.65E-04	2.68E-03
double-strand break repair via break-induced replication (GO:0000727)	21	13	1.72	+	7.58	7.70E-10	5.80E-08
jasmonic acid biosynthetic process (GO:0009695)	15	9	1.23	+	7.35	5.09E-07	1.76E-05
hexose transmembrane transport (GO:0008645)	10	6	.82	+	7.35	4.66E-05	8.86E-04
response to far red light (GO:0010218)	5	3	.41	+	7.35	4.80E-03	4.13E-02
L-leucine biosynthetic process (GO:0009098)	17	10	1.39	+	7.20	1.49E-07	5.84E-06
plastid fission (GO:0043572)	29	17	2.37	+	7.18	6.21E-12	1.04E-09
chloroplast fission (GO:0010020)	29	17	2.37	+	7.18	6.21E-12	9.96E-10
nitric oxide metabolic process (GO:0046209)	7	4	.57	+	7.00	1.27E-03	1.41E-02
nitric oxide biosynthetic process (GO:0006809)	7	4	.57	+	7.00	1.27E-03	1.41E-02
ribulose bisphosphate carboxylase complex assembly (GO:0110102)	7	4	.57	+	7.00	1.27E-03	1.41E-02
cinnamic acid metabolic process (GO:0009803)	9	5	.74	+	6.80	3.45E-04	4.94E-03
cinnamic acid biosynthetic process (GO:0009800)	9	5	.74	+	6.80	3.45E-04	4.92E-03
tRNA 3'-end processing (GO:0042780)	11	6	.90	+	6.68	9.53E-05	1.68E-03
DNA replication initiation (GO:0006270)	37	19	3.02	+	6.29	8.60E-12	1.32E-09
tRNA 3'-terminal CCA addition (GO:0001680)	8	4	.65	+	6.12	2.38E-03	2.31E-02
alditol phosphate metabolic process (GO:0052646)	14	7	1.14	+	6.12	4.95E-05	9.32E-04
citrate metabolic process (GO:0006101)	8	4	.65	+	6.12	2.38E-03	2.30E-02
glycerol-3-phosphate metabolic process (GO:0006072)	14	7	1.14	+	6.12	4.95E-05	9.27E-04
inositol biosynthetic process (GO:0006021)	8	4	.65	+	6.12	2.38E-03	2.29E-02
mitotic DNA replication (GO:1902969)	20	10	1.63	+	6.12	1.12E-06	3.46E-05
protein import into chloroplast stroma (GO:0045037)	27	13	2.21	+	5.89	4.74E-08	2.11E-06
polyprenol biosynthetic process (GO:0016094)	15	7	1.23	+	5.71	8.62E-05	1.56E-03
suberin biosynthetic process (GO:0010345)	11	5	.90	+	5.57	1.10E-03	1.27E-02
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	11	5	.90	+	5.57	1.10E-03	1.26E-02
glycine decarboxylation via glycine cleavage system (GO:0019464)	11	5	.90	+	5.57	1.10E-03	1.26E-02
negative regulation of gene expression via chromosomal CpG island methylation (GO:0044027)	9	4	.74	+	5.44	4.00E-03	3.59E-02
mitochondrial phosphate ion transmembrane transport (GO:1990547)	9	4	.74	+	5.44	4.00E-03	3.58E-02
nucleotide-excision repair, DNA gap filling (GO:0006297)	9	4	.74	+	5.44	4.00E-03	3.57E-02
flavone biosynthetic process (GO:0051553)	9	4	.74	+	5.44	4.00E-03	3.56E-02
flavone metabolic process (GO:0051552)	9	4	.74	+	5.44	4.00E-03	3.56E-02
protein transport by the Tat complex (GO:0043953)	9	4	.74	+	5.44	4.00E-03	3.55E-02
spermine biosynthetic process (GO:0006597)	9	4	.74	+	5.44	4.00E-03	3.54E-02
'de novo' CTP biosynthetic process (GO:0044210)	14	6	1.14	+	5.25	4.99E-04	6.73E-03
mitochondrial RNA modification (GO:1900864)	33	14	2.70	+	5.19	1.06E-07	4.25E-06
L-lysine transport (GO:1902022)	12	5	.98	+	5.10	1.76E-03	1.85E-02
L-lysine transmembrane transport (GO:1903401)	12	5	.98	+	5.10	1.76E-03	1.84E-02
polyprenol metabolic process (GO:0016093)	17	7	1.39	+	5.04	2.25E-04	3.42E-03
long-chain fatty acid biosynthetic process (GO:0042759)	22	9	1.80	+	5.01	2.98E-05	5.98E-04
mitochondrial mRNA modification (GO:0080156)	30	12	2.45	+	4.90	1.85E-06	5.43E-05
pyruvate family amino acid biosynthetic process (GO:0009079)	30	12	2.45	+	4.90	1.85E-06	5.39E-05
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194)	10	4	.82	+	4.90	6.25E-03	5.02E-02
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	10	4	.82	+	4.90	6.25E-03	5.01E-02
ribonucleoside diphosphate biosynthetic process (GO:0009188)	10	4	.82	+	4.90	6.25E-03	5.00E-02
indolalkylamine biosynthetic process (GO:0046219)	20	8	1.63	+	4.90	1.01E-04	1.77E-03
UDP metabolic process (GO:0046048)	10	4	.82	+	4.90	6.25E-03	4.99E-02
lagging strand elongation (GO:0006273)	10	4	.82	+	4.90	6.25E-03	4.98E-02
UDP biosynthetic process (GO:0006225)	10	4	.82	+	4.90	6.25E-03	4.97E-02
pyridoxal phosphate biosynthetic process (GO:0042823)	10	4	.82	+	4.90	6.25E-03	4.96E-02
pyridoxal phosphate metabolic process (GO:0042822)	10	4	.82	+	4.90	6.25E-03	4.95E-02
vitamin B6 biosynthetic process (GO:0042819)	10	4	.82	+	4.90	6.25E-03	4.94E-02
vitamin B6 metabolic process (GO:0042816)	10	4	.82	+	4.90	6.25E-03	4.93E-02
L-tryptophan biosynthetic process (GO:0000162)	20	8	1.63	+	4.90	1.01E-04	1.76E-03
inositol metabolic process (GO:0006020)	20	8	1.63	+	4.90	1.01E-04	1.75E-03
UDP-L-arabinose metabolic process (GO:0033356)	10	4	.82	+	4.90	6.25E-03	4.92E-02
chloroplast rRNA processing (GO:1901259)	28	11	2.29	+	4.81	6.16E-06	1.52E-04
L-ascorbic acid metabolic process (GO:0019852)	23	9	1.88	+	4.79	4.54E-05	8.69E-04
cytidine to uridine editing (GO:0016554)	18	7	1.47	+	4.76	3.42E-04	4.92E-03
fatty-acyl-CoA metabolic process (GO:0035337)	13	5	1.06	+	4.71	2.67E-03	2.51E-02
L-leucine metabolic process (GO:0006551)	26	10	2.12	+	4.71	2.04E-05	4.34E-04
heme biosynthetic process (GO:0006783)	39	15	3.19	+	4.71	1.77E-07	6.81E-06
reactive nitrogen species metabolic process (GO:2001057)	16	6	1.31	+	4.59	1.15E-03	1.30E-02
nitrate assimilation (GO:0042128)	16	6	1.31	+	4.59	1.15E-03	1.30E-02
nitrate metabolic process (GO:0042126)	16	6	1.31	+	4.59	1.15E-03	1.30E-02
nuclear DNA replication (GO:0033260)	32	12	2.61	+	4.59	4.14E-06	1.07E-04
pentose-phosphate shunt, oxidative branch (GO:0009051)	19	7	1.55	+	4.51	5.04E-04	6.76E-03
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	38	14	3.10	+	4.51	8.44E-07	2.62E-05
L-ascorbic acid biosynthetic process (GO:0019853)	19	7	1.55	+	4.51	5.04E-04	6.74E-03
mitochondrial RNA metabolic process (GO:0000959)	52	19	4.25	+	4.47	1.12E-08	6.08E-07
primary alcohol biosynthetic process (GO:0034309)	22	8	1.80	+	4.45	2.21E-04	3.40E-03
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	44	16	3.59	+	4.45	1.73E-07	6.72E-06
indole-containing compound biosynthetic process (GO:0042435)	22	8	1.80	+	4.45	2.21E-04	3.39E-03
thiamine biosynthetic process (GO:0009228)	22	8	1.80	+	4.45	2.21E-04	3.38E-03
neutral amino acid transport (GO:0015804)	14	5	1.14	+	4.37	3.88E-03	3.52E-02
spermine metabolic process (GO:0008215)	17	6	1.39	+	4.32	1.66E-03	1.76E-02
porphyrin-containing compound biosynthetic process (GO:0006779)	74	26	6.04	+	4.30	6.50E-11	7.74E-09
response to wounding (GO:0009611)	40	14	3.27	+	4.29	1.73E-06	5.12E-05
vesicle uncoating (GO:0072319)	20	7	1.63	+	4.29	7.20E-04	8.72E-03
clathrin coat disassembly (GO:0072318)	20	7	1.63	+	4.29	7.20E-04	8.69E-03
heme metabolic process (GO:0042168)	43	15	3.51	+	4.27	7.79E-07	2.46E-05
inositol phosphate metabolic process (GO:0043647)	23	8	1.88	+	4.26	3.15E-04	4.65E-03
lactone metabolic process (GO:1901334)	26	9	2.12	+	4.24	1.39E-04	2.30E-03
tetrapyrrole biosynthetic process (GO:0033014)	78	27	6.37	+	4.24	4.17E-11	5.14E-09
L-glutamate transmembrane transport (GO:0015813)	15	5	1.23	+	4.08	5.43E-03	4.54E-02
gamma-aminobutyric acid transport (GO:0015812)	15	5	1.23	+	4.08	5.43E-03	4.53E-02
serine family amino acid catabolic process (GO:0009071)	15	5	1.23	+	4.08	5.43E-03	4.52E-02
thiamine-containing compound biosynthetic process (GO:0042724)	24	8	1.96	+	4.08	4.39E-04	6.02E-03
deoxyribonucleotide biosynthetic process (GO:0009263)	15	5	1.23	+	4.08	5.43E-03	4.51E-02
L-glutamate import (GO:0051938)	15	5	1.23	+	4.08	5.43E-03	4.50E-02
glycine catabolic process (GO:0006546)	15	5	1.23	+	4.08	5.43E-03	4.49E-02
cellular response to blue light (GO:0071483)	18	6	1.47	+	4.08	2.32E-03	2.29E-02
intracellular receptor signaling pathway (GO:0030522)	18	6	1.47	+	4.08	2.32E-03	2.28E-02
blue light signaling pathway (GO:0009785)	18	6	1.47	+	4.08	2.32E-03	2.27E-02
branched-chain amino acid biosynthetic process (GO:0009082)	42	14	3.43	+	4.08	3.38E-06	9.10E-05
ammonium ion metabolic process (GO:0097164)	18	6	1.47	+	4.08	2.32E-03	2.27E-02
cell cycle DNA replication (GO:0044786)	37	12	3.02	+	3.97	2.31E-05	4.85E-04
actin filament-based movement (GO:0030048)	28	9	2.29	+	3.94	2.64E-04	3.98E-03
establishment of protein localization to chloroplast (GO:0072596)	53	17	4.33	+	3.93	5.74E-07	1.96E-05
pigment biosynthetic process (GO:0046148)	135	43	11.03	+	3.90	2.55E-15	5.89E-13
lactone biosynthetic process (GO:1901336)	22	7	1.80	+	3.90	1.37E-03	1.49E-02
DNA strand elongation involved in DNA replication (GO:0006271)	32	10	2.61	+	3.83	1.57E-04	2.58E-03
DNA strand elongation (GO:0022616)	32	10	2.61	+	3.83	1.57E-04	2.57E-03
pentose-phosphate shunt (GO:0006098)	48	15	3.92	+	3.83	3.80E-06	9.88E-05
fructose 1,6-bisphosphate metabolic process (GO:0030388)	26	8	2.12	+	3.77	8.04E-04	9.58E-03
NADPH regeneration (GO:0006740)	49	15	4.00	+	3.75	5.06E-06	1.27E-04
chlorophyll biosynthetic process (GO:0015995)	49	15	4.00	+	3.75	5.06E-06	1.26E-04
hexose catabolic process (GO:0019320)	56	17	4.57	+	3.72	1.37E-06	4.12E-05
cytokinesis by cell plate formation (GO:0000911)	20	6	1.63	+	3.67	4.21E-03	3.70E-02
AMP biosynthetic process (GO:0006167)	20	6	1.63	+	3.67	4.21E-03	3.69E-02
pyruvate family amino acid metabolic process (GO:0009078)	47	14	3.84	+	3.65	1.48E-05	3.31E-04
thiamine metabolic process (GO:0006772)	27	8	2.21	+	3.63	1.06E-03	1.24E-02
thiamine-containing compound metabolic process (GO:0042723)	27	8	2.21	+	3.63	1.06E-03	1.24E-02
chorismate metabolic process (GO:0046417)	27	8	2.21	+	3.63	1.06E-03	1.23E-02
protein localization to chloroplast (GO:0072598)	58	17	4.74	+	3.59	2.36E-06	6.61E-05
response to symbiotic fungus (GO:0009610)	65	19	5.31	+	3.58	6.41E-07	2.13E-05
response to symbiont (GO:0009608)	65	19	5.31	+	3.58	6.41E-07	2.11E-05
pigment metabolic process (GO:0042440)	155	45	12.66	+	3.55	2.66E-14	5.79E-12
tetrapyrrole metabolic process (GO:0033013)	104	30	8.49	+	3.53	5.94E-10	4.98E-08
monosaccharide catabolic process (GO:0046365)	59	17	4.82	+	3.53	3.07E-06	8.39E-05
porphyrin-containing compound metabolic process (GO:0006778)	98	28	8.00	+	3.50	2.78E-09	1.90E-07
interstrand cross-link repair (GO:0036297)	21	6	1.72	+	3.50	5.49E-03	4.53E-02
alcohol biosynthetic process (GO:0046165)	99	28	8.09	+	3.46	3.57E-09	2.32E-07
jasmonic acid metabolic process (GO:0009694)	39	11	3.19	+	3.45	2.07E-04	3.24E-03
triglyceride biosynthetic process (GO:0019432)	32	9	2.61	+	3.44	7.94E-04	9.52E-03
galactose catabolic process (GO:0019388)	54	15	4.41	+	3.40	1.88E-05	4.03E-04
aromatic amino acid family biosynthetic process (GO:0009073)	94	26	7.68	+	3.39	2.12E-08	1.06E-06
primary alcohol metabolic process (GO:0034308)	29	8	2.37	+	3.38	1.77E-03	1.85E-02
auxin export across the plasma membrane (GO:0010315)	29	8	2.37	+	3.38	1.77E-03	1.84E-02
plastid organization (GO:0009657)	197	54	16.09	+	3.36	1.13E-15	2.78E-13
mRNA modification (GO:0016556)	55	15	4.49	+	3.34	2.39E-05	4.98E-04
water-soluble vitamin metabolic process (GO:0006767)	99	27	8.09	+	3.34	1.59E-08	8.28E-07
water-soluble vitamin biosynthetic process (GO:0042364)	92	25	7.51	+	3.33	5.77E-08	2.51E-06
protoporphyrinogen IX biosynthetic process (GO:0006782)	26	7	2.12	+	3.30	3.96E-03	3.58E-02
protoporphyrinogen IX metabolic process (GO:0046501)	26	7	2.12	+	3.30	3.96E-03	3.57E-02
negative regulation of translation (GO:0017148)	41	11	3.35	+	3.28	3.35E-04	4.86E-03
chloroplast organization (GO:0009658)	161	43	13.15	+	3.27	2.26E-12	4.17E-10
regulation of auxin mediated signaling pathway (GO:0010928)	30	8	2.45	+	3.26	2.24E-03	2.23E-02
methionine biosynthetic process (GO:0009086)	45	12	3.68	+	3.26	1.94E-04	3.09E-03
cell redox homeostasis (GO:0045454)	45	12	3.68	+	3.26	1.94E-04	3.07E-03
methionine metabolic process (GO:0006555)	45	12	3.68	+	3.26	1.94E-04	3.06E-03
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	34	9	2.78	+	3.24	1.28E-03	1.41E-02
glycine metabolic process (GO:0006544)	34	9	2.78	+	3.24	1.28E-03	1.41E-02
NADP metabolic process (GO:0006739)	66	17	5.39	+	3.15	1.60E-05	3.52E-04
vitamin metabolic process (GO:0006766)	121	31	9.88	+	3.14	7.36E-09	4.25E-07
negative regulation of protein metabolic process (GO:0051248)	43	11	3.51	+	3.13	5.25E-04	6.97E-03
lignin catabolic process (GO:0046274)	51	13	4.17	+	3.12	1.74E-04	2.81E-03
vitamin biosynthetic process (GO:0009110)	114	29	9.31	+	3.11	2.63E-08	1.26E-06
aromatic amino acid metabolic process (GO:0009072)	142	36	11.60	+	3.10	6.46E-10	5.18E-08
base conversion or substitution editing (GO:0016553)	28	7	2.29	+	3.06	6.17E-03	4.97E-02
L-tryptophan metabolic process (GO:0006568)	32	8	2.61	+	3.06	3.48E-03	3.20E-02
phenylpropanoid catabolic process (GO:0046271)	52	13	4.25	+	3.06	2.15E-04	3.33E-03
polyol biosynthetic process (GO:0046173)	44	11	3.59	+	3.06	6.48E-04	8.12E-03
galactose metabolic process (GO:0006012)	76	19	6.21	+	3.06	8.30E-06	1.94E-04
acylglycerol biosynthetic process (GO:0046463)	36	9	2.94	+	3.06	1.98E-03	2.02E-02
neutral lipid biosynthetic process (GO:0046460)	36	9	2.94	+	3.06	1.98E-03	2.02E-02
plant-type cell wall organization (GO:0009664)	173	43	14.13	+	3.04	2.98E-11	3.93E-09
plant-type cell wall modification (GO:0009827)	85	21	6.94	+	3.02	3.48E-06	9.24E-05
lignin metabolic process (GO:0009808)	73	18	5.96	+	3.02	1.75E-05	3.79E-04
chlorophyll metabolic process (GO:0015994)	69	17	5.64	+	3.02	3.00E-05	5.98E-04
DNA-templated DNA replication (GO:0006261)	143	35	11.68	+	3.00	3.03E-09	2.04E-07
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	45	11	3.68	+	2.99	7.95E-04	9.51E-03
triglyceride metabolic process (GO:0006641)	37	9	3.02	+	2.98	2.43E-03	2.34E-02
maturation of LSU-rRNA (GO:0000470)	66	16	5.39	+	2.97	6.28E-05	1.16E-03
indolalkylamine metabolic process (GO:0006586)	33	8	2.70	+	2.97	4.27E-03	3.74E-02
L-serine metabolic process (GO:0006563)	54	13	4.41	+	2.95	3.22E-04	4.72E-03
regulation of cell shape (GO:0008360)	50	12	4.08	+	2.94	5.58E-04	7.20E-03
leaf development (GO:0048366)	59	14	4.82	+	2.91	2.26E-04	3.42E-03
serine family amino acid metabolic process (GO:0009069)	93	22	7.60	+	2.90	4.44E-06	1.14E-04
indole-containing compound metabolic process (GO:0042430)	34	8	2.78	+	2.88	5.19E-03	4.42E-02
CTP metabolic process (GO:0046036)	34	8	2.78	+	2.88	5.19E-03	4.41E-02
CTP biosynthetic process (GO:0006241)	34	8	2.78	+	2.88	5.19E-03	4.40E-02
pollen tube development (GO:0048868)	34	8	2.78	+	2.88	5.19E-03	4.39E-02
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	34	8	2.78	+	2.88	5.19E-03	4.38E-02
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	34	8	2.78	+	2.88	5.19E-03	4.37E-02
dicarboxylic acid transport (GO:0006835)	65	15	5.31	+	2.83	1.91E-04	3.05E-03
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	35	8	2.86	+	2.80	6.26E-03	4.92E-02
translational elongation (GO:0006414)	70	16	5.72	+	2.80	1.33E-04	2.23E-03
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	44	10	3.59	+	2.78	2.45E-03	2.34E-02
L-alpha-amino acid transmembrane transport (GO:1902475)	45	10	3.68	+	2.72	2.92E-03	2.71E-02
protein refolding (GO:0042026)	82	18	6.70	+	2.69	9.13E-05	1.62E-03
acylglycerol metabolic process (GO:0006639)	41	9	3.35	+	2.69	5.09E-03	4.36E-02
neutral lipid metabolic process (GO:0006638)	41	9	3.35	+	2.69	5.09E-03	4.35E-02
pyrimidine-containing compound biosynthetic process (GO:0072528)	92	20	7.51	+	2.66	4.42E-05	8.63E-04
glucose 6-phosphate metabolic process (GO:0051156)	69	15	5.64	+	2.66	3.82E-04	5.37E-03
serine family amino acid biosynthetic process (GO:0009070)	70	15	5.72	+	2.62	4.50E-04	6.15E-03
phenylpropanoid metabolic process (GO:0009698)	182	39	14.87	+	2.62	2.18E-08	1.08E-06
L-amino acid biosynthetic process (GO:0170034)	249	53	20.34	+	2.61	9.46E-11	1.06E-08
aromatic amino acid family catabolic process (GO:0009074)	47	10	3.84	+	2.60	4.09E-03	3.60E-02
proteinogenic amino acid biosynthetic process (GO:0170038)	268	57	21.89	+	2.60	1.96E-11	2.78E-09
benzene-containing compound metabolic process (GO:0042537)	52	11	4.25	+	2.59	2.79E-03	2.61E-02
glucose metabolic process (GO:0006006)	100	21	8.17	+	2.57	4.95E-05	9.24E-04
ribosomal large subunit biogenesis (GO:0042273)	134	28	10.94	+	2.56	3.35E-06	9.09E-05
rhythmic process (GO:0048511)	48	10	3.92	+	2.55	4.79E-03	4.13E-02
phenylpropanoid biosynthetic process (GO:0009699)	125	26	10.21	+	2.55	8.04E-06	1.93E-04
oxylipin biosynthetic process (GO:0031408)	53	11	4.33	+	2.54	3.26E-03	3.01E-02
oxylipin metabolic process (GO:0031407)	53	11	4.33	+	2.54	3.26E-03	3.00E-02
L-amino acid transport (GO:0015807)	49	10	4.00	+	2.50	5.59E-03	4.60E-02
malate transport (GO:0015743)	49	10	4.00	+	2.50	5.59E-03	4.59E-02
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	79	16	6.45	+	2.48	5.74E-04	7.39E-03
regulation of cell morphogenesis (GO:0022604)	60	12	4.90	+	2.45	3.00E-03	2.78E-02
isoprenoid biosynthetic process (GO:0008299)	205	41	16.74	+	2.45	9.96E-08	4.04E-06
cytokinesis (GO:0000910)	81	16	6.62	+	2.42	7.65E-04	9.21E-03
amino acid biosynthetic process (GO:0008652)	370	73	30.22	+	2.42	2.24E-12	4.35E-10
plant-type cell wall organization or biogenesis (GO:0071669)	321	62	26.22	+	2.36	2.19E-10	2.18E-08
small molecule biosynthetic process (GO:0044283)	962	184	78.57	+	2.34	1.95E-27	1.03E-24
monocarboxylic acid biosynthetic process (GO:0072330)	262	50	21.40	+	2.34	1.96E-08	1.01E-06
cytoskeleton-dependent cytokinesis (GO:0061640)	63	12	5.15	+	2.33	4.56E-03	3.96E-02
mitotic cytokinesis (GO:0000281)	63	12	5.15	+	2.33	4.56E-03	3.95E-02
sulfur amino acid metabolic process (GO:0000096)	84	16	6.86	+	2.33	1.15E-03	1.31E-02
alpha-amino acid biosynthetic process (GO:1901607)	322	61	26.30	+	2.32	6.00E-10	4.92E-08
monosaccharide metabolic process (GO:0005996)	354	67	28.91	+	2.32	1.25E-10	1.32E-08
cellular response to light stimulus (GO:0071482)	74	14	6.04	+	2.32	2.44E-03	2.34E-02
branched-chain amino acid metabolic process (GO:0009081)	74	14	6.04	+	2.32	2.44E-03	2.33E-02
fucose metabolic process (GO:0006004)	85	16	6.94	+	2.30	2.03E-03	2.05E-02
hexose metabolic process (GO:0019318)	289	54	23.61	+	2.29	9.27E-09	5.18E-07
phyllome development (GO:0048827)	91	17	7.43	+	2.29	1.46E-03	1.57E-02
biogenic amine biosynthetic process (GO:0042401)	70	13	5.72	+	2.27	6.61E-03	5.16E-02
