GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3524)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
rRNA (guanine-N7)-methylation (GO:0070476)	6	3	.38	+	7.92	4.34E-03	3.47E-02
mitotic DNA replication (GO:1902969)	20	10	1.26	+	7.92	1.01E-07	3.82E-06
DNA replication initiation (GO:0006270)	37	18	2.33	+	7.71	1.33E-12	1.29E-10
polyprenol biosynthetic process (GO:0016094)	15	7	.95	+	7.40	1.62E-05	3.05E-04
suberin biosynthetic process (GO:0010345)	11	5	.69	+	7.20	3.34E-04	4.22E-03
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	11	5	.69	+	7.20	3.34E-04	4.21E-03
mRNA pseudouridine synthesis (GO:1990481)	11	5	.69	+	7.20	3.34E-04	4.19E-03
negative regulation of gene expression via chromosomal CpG island methylation (GO:0044027)	9	4	.57	+	7.04	1.54E-03	1.59E-02
migration in host (GO:0044001)	9	4	.57	+	7.04	1.54E-03	1.59E-02
mitochondrial phosphate ion transmembrane transport (GO:1990547)	9	4	.57	+	7.04	1.54E-03	1.58E-02
biological process involved in interaction with host (GO:0051701)	9	4	.57	+	7.04	1.54E-03	1.58E-02
transport of virus (GO:0046794)	9	4	.57	+	7.04	1.54E-03	1.57E-02
transport of virus in multicellular host (GO:0046739)	9	4	.57	+	7.04	1.54E-03	1.57E-02
nucleotide-excision repair, DNA gap filling (GO:0006297)	9	4	.57	+	7.04	1.54E-03	1.56E-02
viral process (GO:0016032)	9	4	.57	+	7.04	1.54E-03	1.56E-02
'de novo' CTP biosynthetic process (GO:0044210)	14	6	.88	+	6.79	1.21E-04	1.78E-03
mitotic chromosome condensation (GO:0007076)	12	5	.76	+	6.60	5.42E-04	6.53E-03
polyprenol metabolic process (GO:0016093)	17	7	1.07	+	6.53	4.38E-05	7.32E-04
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194)	10	4	.63	+	6.34	2.44E-03	2.30E-02
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	10	4	.63	+	6.34	2.44E-03	2.30E-02
ribonucleoside diphosphate biosynthetic process (GO:0009188)	10	4	.63	+	6.34	2.44E-03	2.29E-02
UDP metabolic process (GO:0046048)	10	4	.63	+	6.34	2.44E-03	2.29E-02
UDP biosynthetic process (GO:0006225)	10	4	.63	+	6.34	2.44E-03	2.28E-02
UDP-L-arabinose metabolic process (GO:0033356)	10	4	.63	+	6.34	2.44E-03	2.28E-02
fatty-acyl-CoA metabolic process (GO:0035337)	13	5	.82	+	6.10	8.36E-04	9.41E-03
Rho protein signal transduction (GO:0007266)	13	5	.82	+	6.10	8.36E-04	9.38E-03
L-leucine metabolic process (GO:0006551)	26	10	1.64	+	6.10	2.05E-06	4.89E-05
DNA strand elongation involved in DNA replication (GO:0006271)	32	12	2.02	+	5.94	2.68E-07	9.25E-06
DNA strand elongation (GO:0022616)	32	12	2.02	+	5.94	2.68E-07	9.17E-06
nuclear DNA replication (GO:0033260)	32	12	2.02	+	5.94	2.68E-07	9.08E-06
maturation of LSU-rRNA (GO:0000470)	66	24	4.16	+	5.76	6.81E-13	7.62E-11
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	11	4	.69	+	5.76	3.64E-03	3.25E-02
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	11	4	.69	+	5.76	3.64E-03	3.24E-02
nucleoside diphosphate biosynthetic process (GO:0009133)	11	4	.69	+	5.76	3.64E-03	3.23E-02
branched-chain amino acid biosynthetic process (GO:0009082)	42	15	2.65	+	5.66	1.87E-08	8.75E-07
alditol phosphate metabolic process (GO:0052646)	14	5	.88	+	5.66	1.23E-03	1.31E-02
glycerol-3-phosphate metabolic process (GO:0006072)	14	5	.88	+	5.66	1.23E-03	1.30E-02
phloem development (GO:0010088)	23	8	1.45	+	5.51	5.18E-05	8.38E-04
threonine biosynthetic process (GO:0009088)	15	5	.95	+	5.28	1.75E-03	1.74E-02
pyruvate family amino acid biosynthetic process (GO:0009079)	30	10	1.89	+	5.28	9.19E-06	1.83E-04
1-deoxy-D-xylulose 5-phosphate biosynthetic process (GO:0052865)	12	4	.76	+	5.28	5.19E-03	4.04E-02
1-deoxy-D-xylulose 5-phosphate metabolic process (GO:0052863)	12	4	.76	+	5.28	5.19E-03	4.03E-02
biological process involved in symbiotic interaction (GO:0044403)	12	4	.76	+	5.28	5.19E-03	4.02E-02
tRNA pseudouridine synthesis (GO:0031119)	15	5	.95	+	5.28	1.75E-03	1.74E-02
deoxyribonucleotide biosynthetic process (GO:0009263)	15	5	.95	+	5.28	1.75E-03	1.73E-02
cell cycle DNA replication (GO:0044786)	37	12	2.33	+	5.14	1.64E-06	4.03E-05
secondary alcohol metabolic process (GO:1902652)	22	7	1.39	+	5.04	2.90E-04	3.72E-03
methionine biosynthetic process (GO:0009086)	45	14	2.84	+	4.93	3.99E-07	1.32E-05
methionine metabolic process (GO:0006555)	45	14	2.84	+	4.93	3.99E-07	1.30E-05
mitochondrial RNA processing (GO:0000963)	23	7	1.45	+	4.82	3.94E-04	4.92E-03
L-ascorbic acid metabolic process (GO:0019852)	23	7	1.45	+	4.82	3.94E-04	4.90E-03
AMP biosynthetic process (GO:0006167)	20	6	1.26	+	4.75	1.13E-03	1.21E-02
flavonoid biosynthetic process (GO:0009813)	57	17	3.60	+	4.73	4.69E-08	1.97E-06
flavonoid metabolic process (GO:0009812)	57	17	3.60	+	4.73	4.69E-08	1.95E-06
protein import into chloroplast stroma (GO:0045037)	27	8	1.70	+	4.70	1.87E-04	2.59E-03
CTP metabolic process (GO:0046036)	34	10	2.15	+	4.66	3.18E-05	5.54E-04
CTP biosynthetic process (GO:0006241)	34	10	2.15	+	4.66	3.18E-05	5.51E-04
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	34	10	2.15	+	4.66	3.18E-05	5.48E-04
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	34	10	2.15	+	4.66	3.18E-05	5.46E-04
mitochondrial RNA metabolic process (GO:0000959)	52	15	3.28	+	4.57	4.65E-07	1.48E-05
hexose catabolic process (GO:0019320)	56	16	3.53	+	4.53	2.25E-07	7.98E-06
actin filament-based movement (GO:0030048)	28	8	1.77	+	4.53	2.47E-04	3.27E-03
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	35	10	2.21	+	4.53	4.20E-05	7.05E-04
chromosome condensation (GO:0030261)	39	11	2.46	+	4.47	2.00E-05	3.68E-04
regulation of mitotic sister chromatid segregation (GO:0033047)	25	7	1.58	+	4.44	6.92E-04	8.06E-03
cellular response to blue light (GO:0071483)	18	5	1.14	+	4.40	4.27E-03	3.49E-02
intracellular receptor signaling pathway (GO:0030522)	18	5	1.14	+	4.40	4.27E-03	3.48E-02
blue light signaling pathway (GO:0009785)	18	5	1.14	+	4.40	4.27E-03	3.47E-02
DNA topological change (GO:0006265)	18	5	1.14	+	4.40	4.27E-03	3.46E-02
DNA conformation change (GO:0071103)	18	5	1.14	+	4.40	4.27E-03	3.46E-02
threonine metabolic process (GO:0006566)	18	5	1.14	+	4.40	4.27E-03	3.45E-02
auxin export across the plasma membrane (GO:0010315)	29	8	1.83	+	4.37	3.22E-04	4.12E-03
protein localization to cytoskeleton (GO:0044380)	29	8	1.83	+	4.37	3.22E-04	4.10E-03
protein localization to microtubule cytoskeleton (GO:0072698)	29	8	1.83	+	4.37	3.22E-04	4.09E-03
mitochondrial RNA modification (GO:1900864)	33	9	2.08	+	4.32	1.51E-04	2.16E-03
primary alcohol biosynthetic process (GO:0034309)	22	6	1.39	+	4.32	1.95E-03	1.90E-02
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	44	12	2.78	+	4.32	1.23E-05	2.39E-04
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	22	6	1.39	+	4.32	1.95E-03	1.90E-02
thiamine biosynthetic process (GO:0009228)	22	6	1.39	+	4.32	1.95E-03	1.89E-02
monosaccharide catabolic process (GO:0046365)	59	16	3.72	+	4.30	4.94E-07	1.56E-05
lactone metabolic process (GO:1901334)	26	7	1.64	+	4.27	8.95E-04	9.96E-03
regulation of auxin mediated signaling pathway (GO:0010928)	30	8	1.89	+	4.23	4.15E-04	5.15E-03
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	45	12	2.84	+	4.23	1.58E-05	3.03E-04
L-ascorbic acid biosynthetic process (GO:0019853)	19	5	1.20	+	4.17	5.49E-03	4.25E-02
photosystem I assembly (GO:0048564)	19	5	1.20	+	4.17	5.49E-03	4.24E-02
regulation of cell shape (GO:0008360)	50	13	3.15	+	4.12	9.55E-06	1.90E-04
galactose catabolic process (GO:0019388)	54	14	3.41	+	4.11	4.53E-06	9.96E-05
plastid membrane organization (GO:0009668)	31	8	1.96	+	4.09	5.29E-04	6.38E-03
heme biosynthetic process (GO:0006783)	39	10	2.46	+	4.06	1.15E-04	1.70E-03
pyruvate family amino acid metabolic process (GO:0009078)	47	12	2.97	+	4.05	2.55E-05	4.51E-04
microtubule-based movement (GO:0007018)	157	40	9.91	+	4.04	1.91E-14	2.43E-12
pyrimidine nucleobase biosynthetic process (GO:0019856)	32	8	2.02	+	3.96	6.67E-04	7.84E-03
thiamine-containing compound biosynthetic process (GO:0042724)	24	6	1.51	+	3.96	3.15E-03	2.85E-02
protein localization to cortical microtubule cytoskeleton (GO:0072699)	24	6	1.51	+	3.96	3.15E-03	2.84E-02
protein localization to cell cortex (GO:0072697)	24	6	1.51	+	3.96	3.15E-03	2.84E-02
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	56	14	3.53	+	3.96	7.20E-06	1.49E-04
pyrimidine ribonucleotide metabolic process (GO:0009218)	56	14	3.53	+	3.96	7.20E-06	1.48E-04
pyrimidine nucleotide biosynthetic process (GO:0006221)	65	16	4.10	+	3.90	2.03E-06	4.87E-05
pseudouridine synthesis (GO:0001522)	45	11	2.84	+	3.87	8.51E-05	1.32E-03
negative regulation of translation (GO:0017148)	41	10	2.59	+	3.87	1.81E-04	2.53E-03
establishment or maintenance of cell polarity (GO:0007163)	33	8	2.08	+	3.84	8.32E-04	9.42E-03
protein localization to cell periphery (GO:1990778)	33	8	2.08	+	3.84	8.32E-04	9.39E-03
L-serine metabolic process (GO:0006563)	54	13	3.41	+	3.82	2.35E-05	4.26E-04
mitotic spindle assembly (GO:0090307)	25	6	1.58	+	3.80	3.92E-03	3.47E-02
AMP metabolic process (GO:0046033)	25	6	1.58	+	3.80	3.92E-03	3.46E-02
pyrimidine-containing compound biosynthetic process (GO:0072528)	92	22	5.80	+	3.79	4.63E-08	1.99E-06
DNA-templated DNA replication (GO:0006261)	143	34	9.02	+	3.77	1.35E-11	1.22E-09
mRNA modification (GO:0016556)	55	13	3.47	+	3.75	2.90E-05	5.08E-04
small GTPase-mediated signal transduction (GO:0007264)	51	12	3.22	+	3.73	6.13E-05	9.85E-04
plant-type cell wall modification (GO:0009827)	85	20	5.36	+	3.73	2.48E-07	8.71E-06
mitochondrial mRNA modification (GO:0080156)	30	7	1.89	+	3.70	2.22E-03	2.12E-02
negative regulation of protein metabolic process (GO:0051248)	43	10	2.71	+	3.69	2.76E-04	3.56E-03
heme metabolic process (GO:0042168)	43	10	2.71	+	3.69	2.76E-04	3.55E-03
alcohol biosynthetic process (GO:0046165)	99	23	6.25	+	3.68	4.13E-08	1.79E-06
ribosomal large subunit biogenesis (GO:0042273)	134	31	8.45	+	3.67	2.21E-10	1.41E-08
plant-type cell wall organization (GO:0009664)	173	40	10.92	+	3.66	5.89E-13	6.79E-11
translational elongation (GO:0006414)	70	16	4.42	+	3.62	5.75E-06	1.21E-04
oxylipin biosynthetic process (GO:0031408)	53	12	3.34	+	3.59	9.16E-05	1.41E-03
oxylipin metabolic process (GO:0031407)	53	12	3.34	+	3.59	9.16E-05	1.40E-03
phosphatidylcholine metabolic process (GO:0046470)	40	9	2.52	+	3.57	7.17E-04	8.30E-03
G1/S transition of mitotic cell cycle (GO:0000082)	89	20	5.62	+	3.56	5.48E-07	1.70E-05
cell cycle G1/S phase transition (GO:0044843)	89	20	5.62	+	3.56	5.48E-07	1.69E-05
galactose metabolic process (GO:0006012)	76	17	4.80	+	3.55	4.06E-06	8.99E-05
thiamine metabolic process (GO:0006772)	27	6	1.70	+	3.52	5.89E-03	4.50E-02
thiamine-containing compound metabolic process (GO:0042723)	27	6	1.70	+	3.52	5.89E-03	4.49E-02
chorismate metabolic process (GO:0046417)	27	6	1.70	+	3.52	5.89E-03	4.48E-02
pyrimidine nucleotide metabolic process (GO:0006220)	72	16	4.54	+	3.52	8.47E-06	1.71E-04
secondary metabolite biosynthetic process (GO:0044550)	158	35	9.97	+	3.51	5.75E-11	4.33E-09
protein refolding (GO:0042026)	82	18	5.17	+	3.48	2.85E-06	6.46E-05
regulation of cell morphogenesis (GO:0022604)	60	13	3.79	+	3.43	7.69E-05	1.20E-03
branched-chain amino acid metabolic process (GO:0009081)	74	16	4.67	+	3.43	1.23E-05	2.40E-04
serine family amino acid biosynthetic process (GO:0009070)	70	15	4.42	+	3.40	2.55E-05	4.52E-04
mitotic cell cycle phase transition (GO:0044772)	96	20	6.06	+	3.30	1.95E-06	4.74E-05
cell cycle phase transition (GO:0044770)	96	20	6.06	+	3.30	1.95E-06	4.71E-05
glutathione metabolic process (GO:0006749)	106	22	6.69	+	3.29	6.54E-07	1.87E-05
regulation of mitotic sister chromatid separation (GO:0010965)	34	7	2.15	+	3.26	4.70E-03	3.74E-02
pollen tube development (GO:0048868)	34	7	2.15	+	3.26	4.70E-03	3.73E-02
regulation of chromosome separation (GO:1905818)	34	7	2.15	+	3.26	4.70E-03	3.72E-02
regulation of mitotic nuclear division (GO:0007088)	34	7	2.15	+	3.26	4.70E-03	3.71E-02
sulfur amino acid biosynthetic process (GO:0000097)	78	16	4.92	+	3.25	2.47E-05	4.40E-04
mitotic nuclear division (GO:0140014)	54	11	3.41	+	3.23	4.75E-04	5.82E-03
mitotic sister chromatid segregation (GO:0000070)	54	11	3.41	+	3.23	4.75E-04	5.81E-03
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	65	13	4.10	+	3.17	1.82E-04	2.54E-03
rRNA processing (GO:0006364)	400	80	25.24	+	3.17	3.19E-20	8.42E-18
cell redox homeostasis (GO:0045454)	45	9	2.84	+	3.17	1.75E-03	1.74E-02
pyrimidine-containing compound metabolic process (GO:0072527)	123	24	7.76	+	3.09	6.84E-07	1.94E-05
ribosomal small subunit assembly (GO:0000028)	41	8	2.59	+	3.09	3.65E-03	3.23E-02
mitotic cell cycle (GO:0000278)	386	75	24.35	+	3.08	2.64E-18	5.41E-16
ribosomal small subunit biogenesis (GO:0042274)	155	30	9.78	+	3.07	3.57E-08	1.57E-06
tetrapyrrole biosynthetic process (GO:0033014)	78	15	4.92	+	3.05	9.57E-05	1.46E-03
phenylpropanoid biosynthetic process (GO:0009699)	125	24	7.89	+	3.04	9.28E-07	2.54E-05
rRNA metabolic process (GO:0016072)	423	81	26.69	+	3.03	3.00E-19	6.92E-17
response to water deprivation (GO:0009414)	63	12	3.97	+	3.02	5.10E-04	6.19E-03
sulfur amino acid metabolic process (GO:0000096)	84	16	5.30	+	3.02	6.40E-05	1.02E-03
porphyrin-containing compound biosynthetic process (GO:0006779)	74	14	4.67	+	3.00	1.94E-04	2.66E-03
mitotic cell cycle process (GO:1903047)	307	58	19.37	+	2.99	6.04E-14	7.19E-12
sterol metabolic process (GO:0016125)	69	13	4.35	+	2.99	3.38E-04	4.24E-03
ribonucleoside diphosphate metabolic process (GO:0009185)	160	30	10.10	+	2.97	7.51E-08	2.95E-06
response to water (GO:0009415)	64	12	4.04	+	2.97	5.92E-04	7.07E-03
maturation of SSU-rRNA (GO:0030490)	91	17	5.74	+	2.96	4.95E-05	8.13E-04
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	59	11	3.72	+	2.95	1.04E-03	1.13E-02
purine nucleoside monophosphate biosynthetic process (GO:0009127)	59	11	3.72	+	2.95	1.04E-03	1.13E-02
sterol biosynthetic process (GO:0016126)	59	11	3.72	+	2.95	1.04E-03	1.13E-02
secondary metabolic process (GO:0019748)	236	44	14.89	+	2.95	9.55E-11	6.78E-09
pyrimidine nucleobase metabolic process (GO:0006206)	43	8	2.71	+	2.95	4.96E-03	3.88E-02
aspartate family amino acid biosynthetic process (GO:0009067)	81	15	5.11	+	2.94	1.49E-04	2.14E-03
pigment biosynthetic process (GO:0046148)	135	25	8.52	+	2.94	1.12E-06	3.02E-05
mitochondrial gene expression (GO:0140053)	87	16	5.49	+	2.91	9.91E-05	1.51E-03
sister chromatid segregation (GO:0000819)	60	11	3.79	+	2.91	1.20E-03	1.28E-02
regulation of actin cytoskeleton organization (GO:0032956)	60	11	3.79	+	2.91	1.20E-03	1.28E-02
serine family amino acid metabolic process (GO:0009069)	93	17	5.87	+	2.90	6.59E-05	1.05E-03
phloem or xylem histogenesis (GO:0010087)	55	10	3.47	+	2.88	2.11E-03	2.02E-02
response to acid chemical (GO:0001101)	66	12	4.16	+	2.88	7.89E-04	9.00E-03
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	44	8	2.78	+	2.88	5.73E-03	4.41E-02
ribosome biogenesis (GO:0042254)	564	102	35.59	+	2.87	6.37E-22	2.94E-19
ribonucleoside diphosphate catabolic process (GO:0009191)	144	26	9.09	+	2.86	1.14E-06	3.04E-05
purine ribonucleoside diphosphate catabolic process (GO:0009181)	144	26	9.09	+	2.86	1.14E-06	3.01E-05
purine ribonucleotide catabolic process (GO:0009154)	144	26	9.09	+	2.86	1.14E-06	2.99E-05
purine nucleoside diphosphate catabolic process (GO:0009137)	144	26	9.09	+	2.86	1.14E-06	2.97E-05
ADP catabolic process (GO:0046032)	144	26	9.09	+	2.86	1.14E-06	2.95E-05
ADP metabolic process (GO:0046031)	144	26	9.09	+	2.86	1.14E-06	2.93E-05
glycolytic process (GO:0006096)	144	26	9.09	+	2.86	1.14E-06	2.91E-05
ribonucleotide catabolic process (GO:0009261)	144	26	9.09	+	2.86	1.14E-06	2.89E-05
spindle assembly (GO:0051225)	89	16	5.62	+	2.85	1.31E-04	1.89E-03
nucleoside monophosphate biosynthetic process (GO:0009124)	107	19	6.75	+	2.81	3.83E-05	6.49E-04
regulation of actin filament-based process (GO:0032970)	62	11	3.91	+	2.81	1.59E-03	1.60E-02
nucleoside monophosphate metabolic process (GO:0009123)	141	25	8.90	+	2.81	2.56E-06	5.88E-05
pyridine nucleotide catabolic process (GO:0019364)	147	26	9.27	+	2.80	1.71E-06	4.19E-05
dicarboxylic acid biosynthetic process (GO:0043650)	51	9	3.22	+	2.80	4.27E-03	3.44E-02
rRNA methylation (GO:0031167)	51	9	3.22	+	2.80	4.27E-03	3.43E-02
pyridine-containing compound catabolic process (GO:0072526)	149	26	9.40	+	2.77	2.22E-06	5.27E-05
purine ribonucleoside diphosphate metabolic process (GO:0009179)	150	26	9.46	+	2.75	2.53E-06	5.88E-05
purine nucleoside diphosphate metabolic process (GO:0009135)	150	26	9.46	+	2.75	2.53E-06	5.84E-05
rRNA modification (GO:0000154)	75	13	4.73	+	2.75	7.79E-04	8.93E-03
fatty acid derivative metabolic process (GO:1901568)	52	9	3.28	+	2.74	4.88E-03	3.83E-02
cortical cytoskeleton organization (GO:0030865)	52	9	3.28	+	2.74	4.88E-03	3.82E-02
cytoplasmic translation (GO:0002181)	168	29	10.60	+	2.74	7.51E-07	2.10E-05
DNA replication (GO:0006260)	273	47	17.22	+	2.73	3.71E-10	2.24E-08
proteinogenic amino acid biosynthetic process (GO:0170038)	268	46	16.91	+	2.72	6.27E-10	3.56E-08
maturation of 5.8S rRNA (GO:0000460)	70	12	4.42	+	2.72	1.35E-03	1.41E-02
plant-type cell wall organization or biogenesis (GO:0071669)	321	55	20.25	+	2.72	1.51E-11	1.32E-09
phenylpropanoid metabolic process (GO:0009698)	182	31	11.48	+	2.70	4.30E-07	1.38E-05
regulation of cytoskeleton organization (GO:0051493)	94	16	5.93	+	2.70	2.53E-04	3.30E-03
purine ribonucleoside monophosphate metabolic process (GO:0009167)	65	11	4.10	+	2.68	2.35E-03	2.23E-02
purine nucleoside monophosphate metabolic process (GO:0009126)	65	11	4.10	+	2.68	2.35E-03	2.23E-02
L-amino acid biosynthetic process (GO:0170034)	249	42	15.71	+	2.67	5.80E-09	2.97E-07
nucleoside diphosphate metabolic process (GO:0009132)	179	30	11.29	+	2.66	9.32E-07	2.53E-05
aspartate family amino acid metabolic process (GO:0009066)	90	15	5.68	+	2.64	4.91E-04	5.99E-03
ribosome assembly (GO:0042255)	72	12	4.54	+	2.64	1.74E-03	1.73E-02
purine nucleotide catabolic process (GO:0006195)	156	26	9.84	+	2.64	5.33E-06	1.15E-04
pyruvate metabolic process (GO:0006090)	193	32	12.18	+	2.63	5.28E-07	1.65E-05
