GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3657)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of sequestering of calcium ion (GO:0051283)	15	5	.98	+	5.09	2.07E-03	2.29E-02
regulation of sequestering of calcium ion (GO:0051282)	15	5	.98	+	5.09	2.07E-03	2.28E-02
release of sequestered calcium ion into cytosol (GO:0051209)	15	5	.98	+	5.09	2.07E-03	2.27E-02
L-glutamate transmembrane transport (GO:0015813)	15	5	.98	+	5.09	2.07E-03	2.27E-02
gamma-aminobutyric acid transport (GO:0015812)	15	5	.98	+	5.09	2.07E-03	2.26E-02
calcium ion transmembrane import into cytosol (GO:0097553)	15	5	.98	+	5.09	2.07E-03	2.25E-02
jasmonic acid biosynthetic process (GO:0009695)	15	5	.98	+	5.09	2.07E-03	2.25E-02
regulation of secondary metabolic process (GO:0043455)	15	5	.98	+	5.09	2.07E-03	2.24E-02
L-glutamate import (GO:0051938)	15	5	.98	+	5.09	2.07E-03	2.23E-02
glucosamine-containing compound metabolic process (GO:1901071)	39	13	2.55	+	5.09	6.42E-07	2.04E-05
glutamate metabolic process (GO:0006536)	36	12	2.36	+	5.09	1.73E-06	4.70E-05
1-aminocyclopropane-1-carboxylate metabolic process (GO:0018871)	18	6	1.18	+	5.09	7.33E-04	9.67E-03
1-aminocyclopropane-1-carboxylate biosynthetic process (GO:0042218)	18	6	1.18	+	5.09	7.33E-04	9.63E-03
glycophagy (GO:0061723)	18	6	1.18	+	5.09	7.33E-04	9.60E-03
fruit ripening (GO:0009835)	18	6	1.18	+	5.09	7.33E-04	9.57E-03
proline metabolic process (GO:0006560)	25	8	1.64	+	4.89	1.32E-04	2.22E-03
lactone biosynthetic process (GO:1901336)	22	7	1.44	+	4.86	3.64E-04	5.25E-03
olefinic compound metabolic process (GO:0120254)	41	13	2.68	+	4.84	1.23E-06	3.47E-05
olefin biosynthetic process (GO:1900674)	19	6	1.24	+	4.82	1.01E-03	1.26E-02
olefin metabolic process (GO:1900673)	19	6	1.24	+	4.82	1.01E-03	1.25E-02
ethylene biosynthetic process (GO:0009693)	19	6	1.24	+	4.82	1.01E-03	1.25E-02
ethylene metabolic process (GO:0009692)	19	6	1.24	+	4.82	1.01E-03	1.25E-02
alkene biosynthetic process (GO:0043450)	19	6	1.24	+	4.82	1.01E-03	1.24E-02
alkene metabolic process (GO:0043449)	19	6	1.24	+	4.82	1.01E-03	1.24E-02
disaccharide biosynthetic process (GO:0046351)	52	16	3.40	+	4.70	1.18E-07	4.16E-06
L-leucine metabolic process (GO:0006551)	26	8	1.70	+	4.70	1.80E-04	2.94E-03
L-ascorbic acid metabolic process (GO:0019852)	23	7	1.51	+	4.65	4.94E-04	6.83E-03
proteinogenic amino acid catabolic process (GO:0170040)	110	33	7.20	+	4.58	6.30E-14	5.54E-12
rhythmic process (GO:0048511)	48	14	3.14	+	4.45	1.50E-06	4.13E-05
extracellular matrix organization (GO:0030198)	52	15	3.40	+	4.41	7.45E-07	2.24E-05
extracellular structure organization (GO:0043062)	52	15	3.40	+	4.41	7.45E-07	2.22E-05
circadian rhythm (GO:0007623)	28	8	1.83	+	4.36	3.18E-04	4.62E-03
triglyceride biosynthetic process (GO:0019432)	32	9	2.10	+	4.30	1.54E-04	2.55E-03
regulation of small molecule metabolic process (GO:0062012)	40	11	2.62	+	4.20	3.65E-05	7.03E-04
amino acid catabolic process (GO:0009063)	142	39	9.30	+	4.19	8.99E-15	8.30E-13
disaccharide metabolic process (GO:0005984)	95	26	6.22	+	4.18	2.66E-10	1.49E-08
nucleophagy (GO:0044804)	33	9	2.16	+	4.17	2.00E-04	3.21E-03
oligosaccharide biosynthetic process (GO:0009312)	59	16	3.86	+	4.14	8.08E-07	2.37E-05
lactone metabolic process (GO:1901334)	26	7	1.70	+	4.11	1.11E-03	1.32E-02
xyloglucan metabolic process (GO:0010411)	86	23	5.63	+	4.08	4.57E-09	2.01E-07
olefinic compound biosynthetic process (GO:0120255)	34	9	2.23	+	4.04	2.56E-04	3.90E-03
L-phenylalanine catabolic process (GO:0006559)	23	6	1.51	+	3.98	3.00E-03	2.96E-02
alpha-amino acid catabolic process (GO:1901606)	127	33	8.32	+	3.97	5.31E-12	3.63E-10
pyruvate family amino acid metabolic process (GO:0009078)	47	12	3.08	+	3.90	3.68E-05	7.04E-04
cell wall macromolecule catabolic process (GO:0016998)	32	8	2.10	+	3.82	8.51E-04	1.08E-02
glycogen catabolic process (GO:0005980)	24	6	1.57	+	3.82	3.79E-03	3.61E-02
response to reactive oxygen species (GO:0000302)	104	26	6.81	+	3.82	2.25E-09	1.08E-07
phosphatidylcholine biosynthetic process (GO:0006656)	24	6	1.57	+	3.82	3.79E-03	3.60E-02
L-phenylalanine metabolic process (GO:0006558)	32	8	2.10	+	3.82	8.51E-04	1.08E-02
response to wounding (GO:0009611)	40	10	2.62	+	3.82	1.96E-04	3.18E-03
acylglycerol biosynthetic process (GO:0046463)	36	9	2.36	+	3.82	4.08E-04	5.72E-03
neutral lipid biosynthetic process (GO:0046460)	36	9	2.36	+	3.82	4.08E-04	5.70E-03
oligosaccharide metabolic process (GO:0009311)	105	26	6.87	+	3.78	2.80E-09	1.31E-07
amino sugar metabolic process (GO:0006040)	61	15	3.99	+	3.76	6.69E-06	1.52E-04
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	41	10	2.68	+	3.73	2.45E-04	3.76E-03
branched-chain amino acid metabolic process (GO:0009081)	74	18	4.85	+	3.72	9.82E-07	2.83E-05
triglyceride metabolic process (GO:0006641)	37	9	2.42	+	3.72	5.08E-04	6.97E-03
positive regulation of growth (GO:0045927)	33	8	2.16	+	3.70	1.06E-03	1.26E-02
collagen metabolic process (GO:0032963)	29	7	1.90	+	3.69	2.22E-03	2.34E-02
response to salt stress (GO:0009651)	108	26	7.07	+	3.68	5.33E-09	2.26E-07
acidic amino acid transport (GO:0015800)	25	6	1.64	+	3.67	4.71E-03	4.21E-02
cellular response to ethylene stimulus (GO:0071369)	183	43	11.98	+	3.59	1.57E-13	1.29E-11
ethylene-activated signaling pathway (GO:0009873)	183	43	11.98	+	3.59	1.57E-13	1.26E-11
lignan biosynthetic process (GO:0009807)	30	7	1.96	+	3.56	2.74E-03	2.78E-02
lignan metabolic process (GO:0009806)	30	7	1.96	+	3.56	2.74E-03	2.77E-02
organic acid catabolic process (GO:0016054)	220	51	14.40	+	3.54	1.64E-15	1.73E-13
carboxylic acid catabolic process (GO:0046395)	220	51	14.40	+	3.54	1.64E-15	1.68E-13
small molecule catabolic process (GO:0044282)	371	86	24.29	+	3.54	4.00E-25	1.48E-22
jasmonic acid metabolic process (GO:0009694)	39	9	2.55	+	3.52	7.68E-04	9.92E-03
cell wall macromolecule metabolic process (GO:0044036)	196	45	12.83	+	3.51	1.05E-13	8.84E-12
aminoglycan metabolic process (GO:0006022)	48	11	3.14	+	3.50	2.20E-04	3.44E-03
cell wall polysaccharide metabolic process (GO:0010383)	180	41	11.79	+	3.48	1.69E-12	1.20E-10
regulation of shoot system development (GO:0048831)	49	11	3.21	+	3.43	2.67E-04	4.00E-03
regulation of flower development (GO:0009909)	49	11	3.21	+	3.43	2.67E-04	3.99E-03
response to ethylene (GO:0009723)	222	49	14.54	+	3.37	4.39E-14	3.96E-12
acylglycerol metabolic process (GO:0006639)	41	9	2.68	+	3.35	1.13E-03	1.33E-02
neutral lipid metabolic process (GO:0006638)	41	9	2.68	+	3.35	1.13E-03	1.32E-02
glycogen metabolic process (GO:0005977)	46	10	3.01	+	3.32	6.59E-04	8.82E-03
energy reserve metabolic process (GO:0006112)	46	10	3.01	+	3.32	6.59E-04	8.79E-03
glutathione metabolic process (GO:0006749)	106	23	6.94	+	3.31	3.03E-07	1.01E-05
purine nucleoside metabolic process (GO:0042278)	37	8	2.42	+	3.30	2.33E-03	2.41E-02
regulation of membrane lipid distribution (GO:0097035)	37	8	2.42	+	3.30	2.33E-03	2.40E-02
aromatic amino acid family catabolic process (GO:0009074)	47	10	3.08	+	3.25	7.89E-04	1.01E-02
clathrin-dependent endocytosis (GO:0072583)	66	14	4.32	+	3.24	7.88E-05	1.42E-03
organic cation transport (GO:0015695)	33	7	2.16	+	3.24	4.84E-03	4.30E-02
benzene-containing compound metabolic process (GO:0042537)	52	11	3.40	+	3.23	4.61E-04	6.40E-03
hemicellulose metabolic process (GO:0010410)	156	33	10.21	+	3.23	1.80E-09	8.89E-08
monoatomic anion transmembrane transport (GO:0098656)	48	10	3.14	+	3.18	9.38E-04	1.18E-02
gibberellin metabolic process (GO:0009685)	48	10	3.14	+	3.18	9.38E-04	1.17E-02
response to osmotic stress (GO:0006970)	143	29	9.36	+	3.10	4.53E-08	1.66E-06
L-alpha-amino acid transmembrane transport (GO:1902475)	45	9	2.95	+	3.05	2.25E-03	2.36E-02
protein stabilization (GO:0050821)	45	9	2.95	+	3.05	2.25E-03	2.35E-02
abscisic acid-activated signaling pathway (GO:0009738)	85	17	5.57	+	3.05	3.16E-05	6.21E-04
monosaccharide transmembrane transport (GO:0015749)	40	8	2.62	+	3.05	3.90E-03	3.69E-02
cellular response to abscisic acid stimulus (GO:0071215)	85	17	5.57	+	3.05	3.16E-05	6.18E-04
cellular response to alcohol (GO:0097306)	85	17	5.57	+	3.05	3.16E-05	6.15E-04
amino acid transmembrane transport (GO:0003333)	181	36	11.85	+	3.04	2.00E-09	9.70E-08
peptide transport (GO:0015833)	76	15	4.98	+	3.01	1.06E-04	1.85E-03
oligopeptide transport (GO:0006857)	76	15	4.98	+	3.01	1.06E-04	1.84E-03
monoatomic anion transport (GO:0006820)	71	14	4.65	+	3.01	1.80E-04	2.93E-03
autophagy of mitochondrion (GO:0000422)	46	9	3.01	+	2.99	2.64E-03	2.69E-02
defense response to other organism (GO:0098542)	600	116	39.29	+	2.95	5.82E-26	3.58E-23
response to heat (GO:0009408)	199	38	13.03	+	2.92	2.40E-09	1.14E-07
oxylipin biosynthetic process (GO:0031408)	53	10	3.47	+	2.88	2.08E-03	2.23E-02
oxylipin metabolic process (GO:0031407)	53	10	3.47	+	2.88	2.08E-03	2.23E-02
galactose catabolic process (GO:0019388)	54	10	3.54	+	2.83	2.40E-03	2.47E-02
galactose metabolic process (GO:0006012)	76	14	4.98	+	2.81	3.78E-04	5.41E-03
L-amino acid transport (GO:0015807)	49	9	3.21	+	2.81	4.13E-03	3.90E-02
nucleoside metabolic process (GO:0009116)	55	10	3.60	+	2.78	2.76E-03	2.79E-02
oligopeptide transmembrane transport (GO:0035672)	55	10	3.60	+	2.78	2.76E-03	2.78E-02
hexose catabolic process (GO:0019320)	56	10	3.67	+	2.73	3.17E-03	3.06E-02
defense response (GO:0006952)	1143	203	74.84	+	2.71	6.15E-39	7.57E-36
protein depolymerization (GO:0051261)	62	11	4.06	+	2.71	2.13E-03	2.26E-02
cell surface receptor signaling pathway (GO:0007166)	159	28	10.41	+	2.69	1.58E-06	4.31E-05
defense response to fungus (GO:0050832)	91	16	5.96	+	2.69	2.61E-04	3.95E-03
phosphorelay signal transduction system (GO:0000160)	313	55	20.49	+	2.68	2.23E-11	1.35E-09
response to other organism (GO:0051707)	725	127	47.47	+	2.68	3.19E-24	8.42E-22
response to external biotic stimulus (GO:0043207)	725	127	47.47	+	2.68	3.19E-24	7.86E-22
response to biotic stimulus (GO:0009607)	727	127	47.60	+	2.67	4.11E-24	9.49E-22
biological process involved in interspecies interaction between organisms (GO:0044419)	739	129	48.39	+	2.67	1.93E-24	6.48E-22
sphingolipid metabolic process (GO:0006665)	69	12	4.52	+	2.66	1.63E-03	1.82E-02
receptor-mediated endocytosis (GO:0006898)	81	14	5.30	+	2.64	7.38E-04	9.60E-03
amide transport (GO:0042886)	99	17	6.48	+	2.62	2.28E-04	3.56E-03
amino acid transport (GO:0006865)	211	36	13.82	+	2.61	1.26E-07	4.39E-06
monosaccharide catabolic process (GO:0046365)	59	10	3.86	+	2.59	4.68E-03	4.20E-02
dicarboxylic acid transport (GO:0006835)	65	11	4.26	+	2.58	3.13E-03	3.04E-02
cell wall biogenesis (GO:0042546)	243	41	15.91	+	2.58	2.43E-08	9.35E-07
lipid oxidation (GO:0034440)	107	18	7.01	+	2.57	1.98E-04	3.19E-03
cell recognition (GO:0008037)	161	27	10.54	+	2.56	6.22E-06	1.43E-04
recognition of pollen (GO:0048544)	161	27	10.54	+	2.56	6.22E-06	1.43E-04
cellulose biosynthetic process (GO:0030244)	84	14	5.50	+	2.55	1.07E-03	1.27E-02
polyol metabolic process (GO:0019751)	97	16	6.35	+	2.52	5.48E-04	7.41E-03
glucan metabolic process (GO:0044042)	325	53	21.28	+	2.49	1.10E-09	5.64E-08
regulation of reproductive process (GO:2000241)	80	13	5.24	+	2.48	2.01E-03	2.23E-02
calcium ion transmembrane transport (GO:0070588)	111	18	7.27	+	2.48	3.16E-04	4.62E-03
calcium ion transport (GO:0006816)	113	18	7.40	+	2.43	3.96E-04	5.58E-03
response to external stimulus (GO:0009605)	842	133	55.13	+	2.41	4.22E-21	8.20E-19
response to temperature stimulus (GO:0009266)	267	42	17.48	+	2.40	1.40E-07	4.82E-06
response to abscisic acid (GO:0009737)	142	22	9.30	+	2.37	2.11E-04	3.32E-03
response to alcohol (GO:0097305)	142	22	9.30	+	2.37	2.11E-04	3.31E-03
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	124	19	8.12	+	2.34	6.82E-04	9.05E-03
fucose metabolic process (GO:0006004)	85	13	5.57	+	2.34	3.48E-03	3.33E-02
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	79	12	5.17	+	2.32	5.17E-03	4.58E-02
autophagosome organization (GO:1905037)	79	12	5.17	+	2.32	5.17E-03	4.57E-02
autophagosome assembly (GO:0000045)	79	12	5.17	+	2.32	5.17E-03	4.56E-02
carbohydrate transport (GO:0008643)	145	22	9.49	+	2.32	2.51E-04	3.84E-03
response to oxidative stress (GO:0006979)	376	57	24.62	+	2.32	3.46E-09	1.60E-07
beta-glucan biosynthetic process (GO:0051274)	107	16	7.01	+	2.28	2.32E-03	2.42E-02
response to oxygen-containing compound (GO:1901700)	545	81	35.68	+	2.27	5.90E-12	3.96E-10
regulation of defense response (GO:0031347)	122	18	7.99	+	2.25	1.26E-03	1.46E-02
lipid modification (GO:0030258)	193	28	12.64	+	2.22	9.53E-05	1.67E-03
glutamine family amino acid metabolic process (GO:0009064)	112	16	7.33	+	2.18	3.11E-03	3.03E-02
polysaccharide metabolic process (GO:0005976)	722	101	47.27	+	2.14	6.66E-13	5.12E-11
response to cytokinin (GO:0009735)	126	17	8.25	+	2.06	5.51E-03	4.85E-02
carbohydrate biosynthetic process (GO:0016051)	401	54	26.26	+	2.06	7.01E-07	2.16E-05
response to fungus (GO:0009620)	156	21	10.21	+	2.06	1.65E-03	1.84E-02
modified amino acid metabolic process (GO:0006575)	186	25	12.18	+	2.05	8.39E-04	1.07E-02
regulation of cell communication (GO:0010646)	343	45	22.46	+	2.00	8.89E-06	1.92E-04
regulation of signaling (GO:0023051)	343	45	22.46	+	2.00	8.89E-06	1.91E-04
regulation of signal transduction (GO:0009966)	343	45	22.46	+	2.00	8.89E-06	1.90E-04
membrane lipid metabolic process (GO:0006643)	161	21	10.54	+	1.99	2.22E-03	2.35E-02
hormone-mediated signaling pathway (GO:0009755)	913	119	59.78	+	1.99	9.84E-13	7.42E-11
cellular response to hormone stimulus (GO:0032870)	913	119	59.78	+	1.99	9.84E-13	7.27E-11
cellular response to endogenous stimulus (GO:0071495)	915	119	59.91	+	1.99	1.07E-12	7.77E-11
cellular response to chemical stimulus (GO:0070887)	1333	170	87.28	+	1.95	9.72E-17	1.16E-14
L-amino acid metabolic process (GO:0170033)	403	51	26.39	+	1.93	6.70E-06	1.51E-04
polysaccharide catabolic process (GO:0000272)	374	47	24.49	+	1.92	2.05E-05	4.25E-04
alcohol metabolic process (GO:0006066)	184	23	12.05	+	1.91	2.58E-03	2.65E-02
response to lipid (GO:0033993)	296	37	19.38	+	1.91	2.06E-04	3.27E-03
cellular response to toxic substance (GO:0097237)	346	43	22.65	+	1.90	6.71E-05	1.23E-03
cellular detoxification (GO:1990748)	346	43	22.65	+	1.90	6.71E-05	1.22E-03
alpha-amino acid metabolic process (GO:1901605)	467	57	30.58	+	1.86	7.58E-06	1.69E-04
lipid catabolic process (GO:0016042)	328	40	21.48	+	1.86	1.78E-04	2.92E-03
hydrogen peroxide catabolic process (GO:0042744)	205	25	13.42	+	1.86	2.62E-03	2.68E-02
hydrogen peroxide metabolic process (GO:0042743)	205	25	13.42	+	1.86	2.62E-03	2.68E-02
proteinogenic amino acid metabolic process (GO:0170039)	420	51	27.50	+	1.85	2.50E-05	5.04E-04
cell communication (GO:0007154)	2604	312	170.50	+	1.83	1.78E-25	7.32E-23
glycerolipid biosynthetic process (GO:0045017)	235	28	15.39	+	1.82	2.12E-03	2.25E-02
response to chemical (GO:0042221)	2149	256	140.71	+	1.82	1.23E-20	2.27E-18
cellular response to oxygen-containing compound (GO:1901701)	261	31	17.09	+	1.81	1.48E-03	1.67E-02
monosaccharide metabolic process (GO:0005996)	354	42	23.18	+	1.81	2.09E-04	3.31E-03
signaling (GO:0023052)	2597	308	170.04	+	1.81	2.12E-24	6.53E-22
signal transduction (GO:0007165)	2597	308	170.04	+	1.81	2.12E-24	6.03E-22
response to hormone (GO:0009725)	1307	152	85.58	+	1.78	6.93E-12	4.57E-10
response to endogenous stimulus (GO:0009719)	1309	152	85.71	+	1.77	7.37E-12	4.69E-10
external encapsulating structure organization (GO:0045229)	724	84	47.40	+	1.77	4.55E-07	1.49E-05
amide metabolic process (GO:0043603)	311	36	20.36	+	1.77	1.12E-03	1.32E-02
cell wall organization or biogenesis (GO:0071554)	822	95	53.82	+	1.77	1.09E-07	3.86E-06
cell wall organization (GO:0071555)	694	79	45.44	+	1.74	1.99E-06	5.14E-05
carbohydrate metabolic process (GO:0005975)	1861	211	121.85	+	1.73	6.60E-15	6.41E-13
cellular oxidant detoxification (GO:0098869)	311	35	20.36	+	1.72	1.75E-03	1.95E-02
fatty acid metabolic process (GO:0006631)	367	41	24.03	+	1.71	9.18E-04	1.16E-02
response to stress (GO:0006950)	3176	353	207.95	+	1.70	5.38E-23	1.17E-20
intracellular signal transduction (GO:0035556)	830	92	54.34	+	1.69	8.88E-07	2.58E-05
hexose metabolic process (GO:0019318)	289	32	18.92	+	1.69	3.85E-03	3.66E-02
regulation of response to stimulus (GO:0048583)	513	55	33.59	+	1.64	4.22E-04	5.88E-03
glycerolipid metabolic process (GO:0046486)	327	35	21.41	+	1.63	4.68E-03	4.21E-02
response to abiotic stimulus (GO:0009628)	722	77	47.27	+	1.63	2.78E-05	5.54E-04
response to stimulus (GO:0050896)	6418	668	420.22	+	1.59	1.33E-35	1.23E-32
detoxification (GO:0098754)	456	47	29.86	+	1.57	2.21E-03	2.34E-02
lipid metabolic process (GO:0006629)	1687	172	110.46	+	1.56	1.00E-08	3.98E-07
response to toxic substance (GO:0009636)	462	47	30.25	+	1.55	3.20E-03	3.08E-02
carbohydrate catabolic process (GO:0016052)	600	61	39.29	+	1.55	8.37E-04	1.07E-02
carboxylic acid metabolic process (GO:0019752)	1312	131	85.90	+	1.52	1.86E-06	5.01E-05
catabolic process (GO:0009056)	2761	275	180.78	+	1.52	2.98E-12	2.08E-10
amino acid metabolic process (GO:0006520)	681	67	44.59	+	1.50	1.00E-03	1.25E-02
oxoacid metabolic process (GO:0043436)	1332	131	87.21	+	1.50	3.88E-06	9.31E-05
protein modification by small protein conjugation (GO:0032446)	916	90	59.98	+	1.50	1.50E-04	2.50E-03
organic acid metabolic process (GO:0006082)	1334	131	87.34	+	1.50	3.99E-06	9.52E-05
