GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3973)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
lysine biosynthetic process (GO:0009085)	29	12	2.06	+	5.82	2.72E-07	1.05E-05
chloroplast fission (GO:0010020)	29	12	2.06	+	5.82	2.72E-07	1.04E-05
isoleucine biosynthetic process (GO:0009097)	17	7	1.21	+	5.79	9.42E-05	1.56E-03
polyprenol metabolic process (GO:0016093)	17	7	1.21	+	5.79	9.42E-05	1.55E-03
isoleucine metabolic process (GO:0006549)	17	7	1.21	+	5.79	9.42E-05	1.55E-03
cell cycle DNA replication (GO:0044786)	37	15	2.63	+	5.70	1.22E-08	8.05E-07
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194)	10	4	.71	+	5.62	3.79E-03	3.48E-02
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	10	4	.71	+	5.62	3.79E-03	3.47E-02
ribonucleoside diphosphate biosynthetic process (GO:0009188)	10	4	.71	+	5.62	3.79E-03	3.46E-02
hexose transmembrane transport (GO:0008645)	10	4	.71	+	5.62	3.79E-03	3.45E-02
serine family amino acid catabolic process (GO:0009071)	15	6	1.07	+	5.62	3.68E-04	5.02E-03
UDP metabolic process (GO:0046048)	10	4	.71	+	5.62	3.79E-03	3.45E-02
UDP biosynthetic process (GO:0006225)	10	4	.71	+	5.62	3.79E-03	3.44E-02
diaminopimelate biosynthetic process (GO:0019877)	10	4	.71	+	5.62	3.79E-03	3.43E-02
UDP-L-arabinose metabolic process (GO:0033356)	10	4	.71	+	5.62	3.79E-03	3.42E-02
carbon utilization (GO:0015976)	10	4	.71	+	5.62	3.79E-03	3.41E-02
malonyl-CoA metabolic process (GO:2001293)	10	4	.71	+	5.62	3.79E-03	3.40E-02
glycine catabolic process (GO:0006546)	15	6	1.07	+	5.62	3.68E-04	5.00E-03
cytidine to uridine editing (GO:0016554)	18	7	1.28	+	5.47	1.45E-04	2.25E-03
threonine metabolic process (GO:0006566)	18	7	1.28	+	5.47	1.45E-04	2.24E-03
lysine metabolic process (GO:0006553)	31	12	2.21	+	5.44	6.47E-07	2.21E-05
L-valine biosynthetic process (GO:0009099)	13	5	.92	+	5.41	1.44E-03	1.60E-02
L-leucine metabolic process (GO:0006551)	26	10	1.85	+	5.41	6.03E-06	1.47E-04
homoserine metabolic process (GO:0009092)	16	6	1.14	+	5.27	5.54E-04	7.18E-03
reactive nitrogen species metabolic process (GO:2001057)	16	6	1.14	+	5.27	5.54E-04	7.15E-03
nitrate assimilation (GO:0042128)	16	6	1.14	+	5.27	5.54E-04	7.13E-03
nitrate metabolic process (GO:0042126)	16	6	1.14	+	5.27	5.54E-04	7.10E-03
protein import into chloroplast stroma (GO:0045037)	27	10	1.92	+	5.21	8.96E-06	2.07E-04
flavonoid biosynthetic process (GO:0009813)	57	21	4.05	+	5.18	1.29E-10	1.32E-08
flavonoid metabolic process (GO:0009812)	57	21	4.05	+	5.18	1.29E-10	1.29E-08
mitochondrial mRNA modification (GO:0080156)	30	11	2.13	+	5.15	3.57E-06	9.34E-05
mitochondrial RNA metabolic process (GO:0000959)	52	19	3.70	+	5.14	1.15E-09	9.63E-08
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	11	4	.78	+	5.11	5.62E-03	4.42E-02
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	11	4	.78	+	5.11	5.62E-03	4.41E-02
nucleoside diphosphate biosynthetic process (GO:0009133)	11	4	.78	+	5.11	5.62E-03	4.41E-02
organic cation transport (GO:0015695)	33	12	2.35	+	5.11	1.42E-06	4.24E-05
mRNA pseudouridine synthesis (GO:1990481)	11	4	.78	+	5.11	5.62E-03	4.40E-02
leading strand elongation (GO:0006272)	11	4	.78	+	5.11	5.62E-03	4.39E-02
phosphatidic acid metabolic process (GO:0046473)	11	4	.78	+	5.11	5.62E-03	4.38E-02
phosphatidic acid biosynthetic process (GO:0006654)	11	4	.78	+	5.11	5.62E-03	4.37E-02
pyruvate family amino acid metabolic process (GO:0009078)	47	17	3.34	+	5.08	1.02E-08	7.13E-07
neutral amino acid transport (GO:0015804)	14	5	1.00	+	5.02	2.11E-03	2.16E-02
translesion synthesis (GO:0019985)	14	5	1.00	+	5.02	2.11E-03	2.16E-02
DNA synthesis involved in DNA repair (GO:0000731)	20	7	1.42	+	4.92	3.10E-04	4.41E-03
'de novo' IMP biosynthetic process (GO:0006189)	26	9	1.85	+	4.87	4.73E-05	8.29E-04
gamma-aminobutyric acid transport (GO:0015812)	15	5	1.07	+	4.69	2.98E-03	2.87E-02
DNA topological change (GO:0006265)	18	6	1.28	+	4.69	1.13E-03	1.31E-02
DNA conformation change (GO:0071103)	18	6	1.28	+	4.69	1.13E-03	1.31E-02
IMP biosynthetic process (GO:0006188)	36	12	2.56	+	4.69	4.11E-06	1.07E-04
heme biosynthetic process (GO:0006783)	39	13	2.77	+	4.69	1.63E-06	4.83E-05
ammonium ion metabolic process (GO:0097164)	18	6	1.28	+	4.69	1.13E-03	1.31E-02
tRNA pseudouridine synthesis (GO:0031119)	15	5	1.07	+	4.69	2.98E-03	2.86E-02
DNA replication initiation (GO:0006270)	37	12	2.63	+	4.56	5.68E-06	1.40E-04
acidic amino acid transport (GO:0015800)	25	8	1.78	+	4.50	2.34E-04	3.49E-03
AMP metabolic process (GO:0046033)	25	8	1.78	+	4.50	2.34E-04	3.48E-03
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	38	12	2.70	+	4.44	7.77E-06	1.85E-04
IMP metabolic process (GO:0046040)	38	12	2.70	+	4.44	7.77E-06	1.84E-04
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	59	18	4.20	+	4.29	7.97E-08	3.68E-06
purine nucleoside monophosphate biosynthetic process (GO:0009127)	59	18	4.20	+	4.29	7.97E-08	3.63E-06
heme metabolic process (GO:0042168)	43	13	3.06	+	4.25	5.62E-06	1.39E-04
lignin biosynthetic process (GO:0009809)	20	6	1.42	+	4.22	2.09E-03	2.16E-02
AMP biosynthetic process (GO:0006167)	20	6	1.42	+	4.22	2.09E-03	2.15E-02
photomorphogenesis (GO:0009640)	37	11	2.63	+	4.18	3.51E-05	6.51E-04
regulation of stomatal closure (GO:0090333)	17	5	1.21	+	4.13	5.45E-03	4.33E-02
mRNA modification (GO:0016556)	55	16	3.91	+	4.09	8.53E-07	2.74E-05
hexose catabolic process (GO:0019320)	56	16	3.98	+	4.02	1.12E-06	3.49E-05
translational elongation (GO:0006414)	70	20	4.98	+	4.02	5.27E-08	2.53E-06
branched-chain amino acid metabolic process (GO:0009081)	74	21	5.26	+	3.99	2.81E-08	1.48E-06
malate metabolic process (GO:0006108)	32	9	2.28	+	3.95	2.88E-04	4.13E-03
purine ribonucleoside monophosphate metabolic process (GO:0009167)	65	18	4.62	+	3.89	4.06E-07	1.43E-05
purine nucleoside monophosphate metabolic process (GO:0009126)	65	18	4.62	+	3.89	4.06E-07	1.41E-05
primary alcohol biosynthetic process (GO:0034309)	22	6	1.56	+	3.83	3.56E-03	3.30E-02
thiamine biosynthetic process (GO:0009228)	22	6	1.56	+	3.83	3.56E-03	3.29E-02
monosaccharide catabolic process (GO:0046365)	59	16	4.20	+	3.81	2.40E-06	6.75E-05
plant-type cell wall modification (GO:0009827)	85	23	6.05	+	3.80	1.69E-08	1.08E-06
nitrogen cycle metabolic process (GO:0071941)	26	7	1.85	+	3.78	1.81E-03	1.94E-02
fatty acid derivative metabolic process (GO:1901568)	52	14	3.70	+	3.78	1.11E-05	2.35E-04
protoporphyrinogen IX biosynthetic process (GO:0006782)	26	7	1.85	+	3.78	1.81E-03	1.94E-02
protoporphyrinogen IX metabolic process (GO:0046501)	26	7	1.85	+	3.78	1.81E-03	1.93E-02
glycine metabolic process (GO:0006544)	34	9	2.42	+	3.72	4.73E-04	6.30E-03
establishment of protein localization to chloroplast (GO:0072596)	53	14	3.77	+	3.71	1.41E-05	2.95E-04
mitochondrial RNA processing (GO:0000963)	23	6	1.64	+	3.67	4.54E-03	3.96E-02
L-ascorbic acid metabolic process (GO:0019852)	23	6	1.64	+	3.67	4.54E-03	3.95E-02
pyruvate decarboxylation to acetyl-CoA (GO:0006086)	23	6	1.64	+	3.67	4.54E-03	3.94E-02
(1->3)-beta-D-glucan biosynthetic process (GO:0006075)	23	6	1.64	+	3.67	4.54E-03	3.93E-02
(1->3)-beta-D-glucan metabolic process (GO:0006074)	23	6	1.64	+	3.67	4.54E-03	3.92E-02
galactose catabolic process (GO:0019388)	54	14	3.84	+	3.64	1.78E-05	3.63E-04
terpene metabolic process (GO:0042214)	35	9	2.49	+	3.61	5.96E-04	7.54E-03
porphyrin-containing compound biosynthetic process (GO:0006779)	74	19	5.26	+	3.61	7.04E-07	2.39E-05
dicarboxylic acid metabolic process (GO:0043648)	145	37	10.31	+	3.59	5.96E-12	7.85E-10
secondary metabolite biosynthetic process (GO:0044550)	158	40	11.24	+	3.56	1.11E-12	1.71E-10
mitochondrial gene expression (GO:0140053)	87	22	6.19	+	3.55	1.29E-07	5.65E-06
DNA strand elongation involved in DNA replication (GO:0006271)	32	8	2.28	+	3.51	1.46E-03	1.62E-02
DNA strand elongation (GO:0022616)	32	8	2.28	+	3.51	1.46E-03	1.61E-02
base conversion or substitution editing (GO:0016553)	28	7	1.99	+	3.51	2.87E-03	2.79E-02
chloroplast rRNA processing (GO:1901259)	28	7	1.99	+	3.51	2.87E-03	2.78E-02
nucleoside biosynthetic process (GO:0009163)	24	6	1.71	+	3.51	5.69E-03	4.40E-02
ribonucleoside biosynthetic process (GO:0042455)	24	6	1.71	+	3.51	5.69E-03	4.39E-02
purine nucleoside biosynthetic process (GO:0042451)	24	6	1.71	+	3.51	5.69E-03	4.39E-02
purine ribonucleoside biosynthetic process (GO:0046129)	24	6	1.71	+	3.51	5.69E-03	4.38E-02
purine ribonucleoside metabolic process (GO:0046128)	24	6	1.71	+	3.51	5.69E-03	4.37E-02
thiamine-containing compound biosynthetic process (GO:0042724)	24	6	1.71	+	3.51	5.69E-03	4.36E-02
nucleobase-containing small molecule biosynthetic process (GO:0034404)	24	6	1.71	+	3.51	5.69E-03	4.35E-02
G1/S transition of mitotic cell cycle (GO:0000082)	89	22	6.33	+	3.48	1.98E-07	8.23E-06
cell cycle G1/S phase transition (GO:0044843)	89	22	6.33	+	3.48	1.98E-07	8.14E-06
tetrapyrrole biosynthetic process (GO:0033014)	78	19	5.55	+	3.42	1.68E-06	4.87E-05
starch biosynthetic process (GO:0019252)	37	9	2.63	+	3.42	9.23E-04	1.11E-02
protein localization to chloroplast (GO:0072598)	58	14	4.13	+	3.39	4.24E-05	7.57E-04
regulation of cell shape (GO:0008360)	50	12	3.56	+	3.37	1.56E-04	2.41E-03
thioester biosynthetic process (GO:0035384)	42	10	2.99	+	3.35	5.84E-04	7.43E-03
acyl-CoA biosynthetic process (GO:0071616)	42	10	2.99	+	3.35	5.84E-04	7.41E-03
plant-type cell wall organization (GO:0009664)	173	41	12.31	+	3.33	5.89E-12	8.05E-10
galactose metabolic process (GO:0006012)	76	18	5.41	+	3.33	4.80E-06	1.20E-04
serine family amino acid metabolic process (GO:0009069)	93	22	6.62	+	3.33	4.52E-07	1.56E-05
mitochondrial translation (GO:0032543)	55	13	3.91	+	3.32	9.96E-05	1.62E-03
aspartate family amino acid biosynthetic process (GO:0009067)	81	19	5.76	+	3.30	3.08E-06	8.36E-05
mitotic cell cycle phase transition (GO:0044772)	96	22	6.83	+	3.22	8.08E-07	2.67E-05
cell cycle phase transition (GO:0044770)	96	22	6.83	+	3.22	8.08E-07	2.64E-05
rhythmic process (GO:0048511)	48	11	3.41	+	3.22	4.48E-04	6.02E-03
plastid membrane organization (GO:0009668)	31	7	2.21	+	3.17	5.28E-03	4.23E-02
Group II intron splicing (GO:0000373)	31	7	2.21	+	3.17	5.28E-03	4.22E-02
nucleoside monophosphate biosynthetic process (GO:0009124)	107	24	7.61	+	3.15	3.98E-07	1.41E-05
plastid organization (GO:0009657)	197	44	14.01	+	3.14	8.68E-12	1.00E-09
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	45	10	3.20	+	3.12	1.04E-03	1.22E-02
pseudouridine synthesis (GO:0001522)	45	10	3.20	+	3.12	1.04E-03	1.22E-02
L-alpha-amino acid transmembrane transport (GO:1902475)	45	10	3.20	+	3.12	1.04E-03	1.22E-02
protein refolding (GO:0042026)	82	18	5.83	+	3.09	1.49E-05	3.08E-04
glutathione metabolic process (GO:0006749)	106	23	7.54	+	3.05	1.28E-06	3.89E-05
DNA-templated DNA replication (GO:0006261)	143	31	10.17	+	3.05	2.04E-08	1.21E-06
ribosomal large subunit biogenesis (GO:0042273)	134	29	9.53	+	3.04	5.97E-08	2.79E-06
ribonucleoside monophosphate biosynthetic process (GO:0009156)	93	20	6.62	+	3.02	7.08E-06	1.71E-04
porphyrin-containing compound metabolic process (GO:0006778)	98	21	6.97	+	3.01	4.48E-06	1.15E-04
L-amino acid biosynthetic process (GO:0170034)	249	53	17.71	+	2.99	5.26E-13	8.83E-11
nucleoside monophosphate metabolic process (GO:0009123)	141	30	10.03	+	2.99	5.34E-08	2.53E-06
maturation of LSU-rRNA (GO:0000470)	66	14	4.69	+	2.98	1.89E-04	2.87E-03
tetrapyrrole metabolic process (GO:0033013)	104	22	7.40	+	2.97	3.36E-06	8.99E-05
aspartate family amino acid metabolic process (GO:0009066)	90	19	6.40	+	2.97	1.57E-05	3.25E-04
response to blue light (GO:0009637)	38	8	2.70	+	2.96	4.63E-03	3.97E-02
proteinogenic amino acid biosynthetic process (GO:0170038)	268	56	19.06	+	2.94	2.64E-13	4.88E-11
pyruvate metabolic process (GO:0006090)	193	40	13.73	+	2.91	8.05E-10	7.08E-08
chloroplast organization (GO:0009658)	161	33	11.45	+	2.88	3.09E-08	1.61E-06
L-amino acid transport (GO:0015807)	49	10	3.49	+	2.87	2.07E-03	2.14E-02
cellular response to light stimulus (GO:0071482)	74	15	5.26	+	2.85	1.93E-04	2.92E-03
ribonucleoside monophosphate metabolic process (GO:0009161)	99	20	7.04	+	2.84	1.89E-05	3.81E-04
methionine biosynthetic process (GO:0009086)	45	9	3.20	+	2.81	3.93E-03	3.52E-02
serine family amino acid biosynthetic process (GO:0009070)	70	14	4.98	+	2.81	3.61E-04	4.94E-03
regulation of cell morphogenesis (GO:0022604)	60	12	4.27	+	2.81	9.30E-04	1.11E-02
cell redox homeostasis (GO:0045454)	45	9	3.20	+	2.81	3.93E-03	3.52E-02
methionine metabolic process (GO:0006555)	45	9	3.20	+	2.81	3.93E-03	3.51E-02
cellular response to radiation (GO:0071478)	76	15	5.41	+	2.77	2.63E-04	3.82E-03
pyrimidine-containing compound biosynthetic process (GO:0072528)	92	18	6.54	+	2.75	7.53E-05	1.28E-03
phosphate ion transport (GO:0006817)	46	9	3.27	+	2.75	4.58E-03	3.95E-02
secondary metabolic process (GO:0019748)	236	46	16.79	+	2.74	3.88E-10	3.58E-08
alcohol biosynthetic process (GO:0046165)	99	19	7.04	+	2.70	6.34E-05	1.08E-03
water-soluble vitamin metabolic process (GO:0006767)	99	19	7.04	+	2.70	6.34E-05	1.08E-03
amino acid biosynthetic process (GO:0008652)	370	71	26.32	+	2.70	1.79E-14	3.89E-12
starch metabolic process (GO:0005982)	47	9	3.34	+	2.69	5.32E-03	4.24E-02
response to abscisic acid (GO:0009737)	142	27	10.10	+	2.67	2.47E-06	6.90E-05
response to alcohol (GO:0097305)	142	27	10.10	+	2.67	2.47E-06	6.85E-05
response to water (GO:0009415)	64	12	4.55	+	2.64	1.68E-03	1.82E-02
ribonucleoside diphosphate metabolic process (GO:0009185)	160	30	11.38	+	2.64	9.55E-07	3.04E-05
maturation of SSU-rRNA (GO:0030490)	91	17	6.47	+	2.63	2.12E-04	3.19E-03
alpha-amino acid biosynthetic process (GO:1901607)	322	60	22.90	+	2.62	6.61E-12	7.88E-10
pigment biosynthetic process (GO:0046148)	135	25	9.60	+	2.60	9.27E-06	2.13E-04
L-serine metabolic process (GO:0006563)	54	10	3.84	+	2.60	4.35E-03	3.81E-02
water-soluble vitamin biosynthetic process (GO:0042364)	92	17	6.54	+	2.60	2.43E-04	3.58E-03
pyrimidine nucleotide biosynthetic process (GO:0006221)	65	12	4.62	+	2.60	1.92E-03	2.02E-02
dicarboxylic acid transport (GO:0006835)	65	12	4.62	+	2.60	1.92E-03	2.02E-02
phenylpropanoid biosynthetic process (GO:0009699)	125	23	8.89	+	2.59	2.31E-05	4.46E-04
sister chromatid segregation (GO:0000819)	60	11	4.27	+	2.58	3.09E-03	2.95E-02
response to acid chemical (GO:0001101)	66	12	4.69	+	2.56	2.20E-03	2.25E-02
ribonucleoside diphosphate catabolic process (GO:0009191)	144	26	10.24	+	2.54	9.97E-06	2.27E-04
purine ribonucleoside diphosphate catabolic process (GO:0009181)	144	26	10.24	+	2.54	9.97E-06	2.26E-04
purine ribonucleotide catabolic process (GO:0009154)	144	26	10.24	+	2.54	9.97E-06	2.25E-04
purine nucleoside diphosphate catabolic process (GO:0009137)	144	26	10.24	+	2.54	9.97E-06	2.23E-04
ADP catabolic process (GO:0046032)	144	26	10.24	+	2.54	9.97E-06	2.22E-04
ADP metabolic process (GO:0046031)	144	26	10.24	+	2.54	9.97E-06	2.21E-04
glycolytic process (GO:0006096)	144	26	10.24	+	2.54	9.97E-06	2.19E-04
ribonucleotide catabolic process (GO:0009261)	144	26	10.24	+	2.54	9.97E-06	2.18E-04
purine nucleotide catabolic process (GO:0006195)	156	28	11.10	+	2.52	5.22E-06	1.30E-04
nucleoside diphosphate metabolic process (GO:0009132)	179	32	12.73	+	2.51	1.26E-06	3.89E-05
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	56	10	3.98	+	2.51	5.70E-03	4.35E-02
pyrimidine ribonucleotide metabolic process (GO:0009218)	56	10	3.98	+	2.51	5.70E-03	4.34E-02
sulfur amino acid metabolic process (GO:0000096)	84	15	5.98	+	2.51	8.00E-04	9.76E-03
nucleotide catabolic process (GO:0009166)	169	30	12.02	+	2.50	3.10E-06	8.36E-05
modified amino acid metabolic process (GO:0006575)	186	33	13.23	+	2.49	1.04E-06	3.27E-05
pyridine nucleotide catabolic process (GO:0019364)	147	26	10.46	+	2.49	1.46E-05	3.04E-04
proteinogenic amino acid metabolic process (GO:0170039)	420	74	29.88	+	2.48	4.95E-13	8.71E-11
response to water deprivation (GO:0009414)	63	11	4.48	+	2.45	4.57E-03	3.95E-02
pyridine-containing compound catabolic process (GO:0072526)	149	26	10.60	+	2.45	1.87E-05	3.78E-04
pigment metabolic process (GO:0042440)	155	27	11.03	+	2.45	1.35E-05	2.84E-04
vitamin metabolic process (GO:0006766)	121	21	8.61	+	2.44	1.23E-04	1.94E-03
sulfur compound metabolic process (GO:0006790)	415	72	29.52	+	2.44	2.09E-12	2.97E-10
